question,CONTEXTS,LABELS,MESHES,YEAR,reasoning_required_pred,reasoning_free_pred,answer,LONG_ANSWER,domain_idx,domain,dtype,intent
Are microRNAs independent predictors of outcome in diffuse large B-cell lymphoma patients treated with R-CHOP?,"[""Diffuse large B-cell lymphoma (DLBCL) heterogeneity has prompted investigations for new biomarkers that can accurately predict survival. A previously reported 6-gene model combined with the International Prognostic Index (IPI) could predict patients' outcome. However, even these predictors are not capable of unambiguously identifying outcome, suggesting that additional biomarkers might improve their predictive power."", 'We studied expression of 11 microRNAs (miRNA) that had previously been reported to have variable expression in DLBCL tumors. We measured the expression of each miRNA by quantitative real-time PCR analyses in 176 samples from uniformly treated DLBCL patients and correlated the results to survival.', 'In a univariate analysis, the expression of miR-18a correlated with overall survival (OS), whereas the expression of miR-181a and miR-222 correlated with progression-free survival (PFS). A multivariate Cox regression analysis including the IPI, the 6-gene model-derived mortality predictor score and expression of the miR-18a, miR-181a, and miR-222, revealed that all variables were independent predictors of survival except the expression of miR-222 for OS and the expression of miR-18a for PFS.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols', 'Cluster Analysis', 'Cyclophosphamide', 'DNA Modification Methylases', 'DNA Repair Enzymes', 'Doxorubicin', 'Forkhead Transcription Factors', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'HeLa Cells', 'Humans', 'Jurkat Cells', 'Lymphoma, Large B-Cell, Diffuse', 'MicroRNAs', 'Middle Aged', 'Neoplasm Staging', 'Prednisone', 'Prognosis', 'Repressor Proteins', 'Survival Analysis', 'Treatment Outcome', 'Tumor Suppressor Proteins', 'Vincristine', 'Young Adult']",,,,yes,The expression of specific miRNAs may be useful for DLBCL survival prediction and their role in the pathogenesis of this disease should be examined further.,8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Is administration of triclabendazole safe and effective in controlling fascioliasis in an endemic community of the Bolivian Altiplano?,"['The Bolivian northern Altiplano is characterized by a high prevalence of Fasciola hepatica infection. In order to assess the feasibility, safety and efficacy of large-scale administration of triclabendazole as an appropriate public health measure to control morbidity associated with fascioliasis, a pilot intervention was implemented in 2008.', 'Schoolchildren from an endemic community were screened for fascioliasis and treated with a single administration of triclabendazole (10 mg/kg). Interviews to assess the occurrence of adverse events were conducted on treatment day, one week later, and one month after treatment. Further parasitological screenings were performed three months after treatment and again two months later (following a further treatment) in order to evaluate the efficacy of the intervention.', 'Ninety infected children were administered triclabendazole. Adverse events were infrequent and mild. No serious adverse events were reported. Observed cure rates were 77.8% after one treatment and 97.8% after two treatments, while egg reduction rates ranged between 74% and 90.3% after one treatment, and between 84.2% and 99.9% after two treatments. The proportion of high-intensity infections (≥ 400 epg) decreased from 7.8% to 1.1% after one treatment and to 0% after two treatments.']","['BACKGROUND', 'METHODS', 'RESULTS']","['Adolescent', 'Animals', 'Anthelmintics', 'Benzimidazoles', 'Bolivia', 'Chemoprevention', 'Child', 'Child, Preschool', 'Drug-Related Side Effects and Adverse Reactions', 'Endemic Diseases', 'Fasciola hepatica', 'Fascioliasis', 'Female', 'Humans', 'Interviews as Topic', 'Male', 'Treatment Outcome', 'Triclabendazole']",,,,yes,"Administration of triclabendazole is a feasible, safe and efficacious public health intervention in an endemic community in the Bolivian Altiplano, suggesting that preventive chemotherapy can be applied to control of fascioliasis. Further investigations are needed to define the most appropriate frequency of treatment.",8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Does hepatitis C virus sensitize host cells to TRAIL-induced apoptosis by up-regulating DR4 and DR5 via a MEK1-dependent pathway?,"['Hepatitis C virus (HCV) is the leading cause of liver fibrosis, cirrhosis and hepatocellular carcinoma. It is believed that continuous liver cell apoptosis contributes to HCV pathogenesis. Recent studies have shown that HCV infection can sensitize host cells to TNF-related apoptosis-inducing ligand (TRAIL) induced apoptosis, but the mechanism by which HCV regulates the TRAIL pathway remains unclear.', 'Using a sub-genomic replicon and full length virus, JFH-1, we demonstrate that HCV can sensitize host cells to TRAIL-induced apoptosis by up-regulating two TRAIL receptors, death receptor 4 (DR4) and death receptor 5 (DR5). Furthermore, the HCV replicon enhanced transcription of DR5 via Sp1, and the HCV-mediated up-regulation of DR4 and DR5 required MEK1 activity. HCV infection also stimulated the activity of MEK1, and the inhibition of MEK1 activity or the knockdown of MEK1 increased the replication of HCV.']","['BACKGROUND', 'RESULTS']","['Apoptosis', 'Base Sequence', 'Hepacivirus', 'Humans', 'MAP Kinase Kinase 1', 'Promoter Regions, Genetic', 'RNA Interference', 'Receptors, TNF-Related Apoptosis-Inducing Ligand', 'Signal Transduction', 'Sp1 Transcription Factor', 'TNF-Related Apoptosis-Inducing Ligand', 'Transcription, Genetic', 'Up-Regulation', 'Virus Replication']",,,,yes,Our studies demonstrate that HCV replication sensitizes host cells to TRAIL-induced apoptosis by up-regulating DR4 and DR5 via a MEK1 dependent pathway. These findings may help to further understand the pathogenesis of HCV infection and provide a therapeutic target.,8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Are vancomycin-resistant Enterococcus faecium infection in patients with hematologic malignancy : patients with acute myeloid leukemia at high-risk?,"['Vancomycin-resistant enterococci (VRE) are significant nosocomial pathogens in patients with hematologic malignancy. Identification of risk factors for infection is necessary for targeted prevention and surveillance.', 'An outbreak of VRE infection occurred at a tertiary cancer hospital between 1 August 2003 and 30 June 2005. Infection control measures recommended by the Society for Healthcare Epidemiology of America were used throughout the outbreak period. A matched case-control study was performed to identify risk factors for VRE infection.', 'Fourteen VRE infections (13 episodes of bacteremia, one urinary tract infection) occurred a median of 10.5 d following hospital admission. All were due to Enterococcus faecium vanB. Univariate analysis identified the following variables to be significantly associated with VRE infection: presence of neutropenia, neutropenia >or=7 d, underlying diagnosis of acute myeloid leukemia (AML), and receipt of vancomycin, metronidazole or carbapenem antibiotic therapy in the 30 d prior to infection. On multivariate analysis, an underlying diagnosis of AML [odds ratio (OR), 15.00; P = 0.017] and vancomycin therapy during the previous 30 d (OR, 17.96; P = 0.036) were retained as independent risk factors for infection.']","['BACKGROUND', 'OBJECTIVE', 'RESULTS']","['Acute Disease', 'Adult', 'Aged', 'Case-Control Studies', 'Disease Outbreaks', 'Enterococcus faecium', 'Female', 'Gram-Positive Bacterial Infections', 'Hematologic Neoplasms', 'Humans', 'Leukemia, Myeloid', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Risk Factors', 'Vancomycin', 'Vancomycin Resistance']",,,,yes,"Risk stratification for development of VRE infection is possible for patients with hematologic malignancy. Patients with AML represent a high-risk population, and targeted prevention strategies must include improved antibiotic stewardship, particularly judicious use of vancomycin therapy.",8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Does the narrow view of reading promote a broad view of comprehension?,"[""This article is a response to A. G. Kamhi's proposal of the narrow view of reading."", 'A descriptive approach is used to review research concerning the cognitive basis of reading comprehension. Educational implications for instruction and assessment are considered. The role of the speech-language pathologist (SLP) in intervention related to reading comprehension is also addressed.']","['OBJECTIVE', 'METHODS']","['Comprehension', 'Humans', 'Language Tests', 'Models, Theoretical', 'Reading', 'Speech-Language Pathology']",,,,yes,"Although the narrow view of reading seems restrictive, it actually leads to a broad view of comprehension. The latter view, which is consistent with current research, proposes that comprehension is an active process in which readers use background knowledge and a range of cognitive processes to construct a coherent representation of text. This view challenges some current approaches to assessment and instruction of reading comprehension. It does not, however, diminish the role that SLPs can play in intervention related to reading comprehension.",0,SCIENCE,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Does desloratadine reduce allergen challenge-induced mucinous secretion and plasma exudation in allergic rhinitis?,"['Rhinorrhea is a key symptom of allergic rhinitis and this disease feature is reduced by antihistamine treatment. The nasal output of fluid in allergic rhinitis is associated with luminal appearance of bioactive molecules emanating from the microcirculation as well as the secretory apparatus.', 'In the present study, we examined the effects of antihistamine treatment on nasal symptoms and output of mucinous secretions and plasma.', 'Desloratadine (5 mg) was administered orally once daily for 5 days in a placebo-controlled, crossover design to 24 patients with allergic rhinitis. Nasal challenges with diluent and allergen (100 to 10,000 SQ-U) were carried out on day 5 of the treatment. The nasal mucosa was lavaged with saline, and symptoms were scored 10 minutes after each allergen challenge and 1 to 4 hours after the challenge series. Nasal lavage fluid levels of fucose and alpha2-macroglobulin were determined as indices of mucinous secretion and plasma exudation, respectively.', 'The allergen challenges produced nasal symptoms, including rhinorrhea, and increased nasal output of fucose and alpha2-macroglobulin. Desloratadine reduced the nasal symptoms (P < 0.05 to 0.001) and output of fucose (P < 0.05 at 100 and 1,000 SQ-U) and alpha2-macroglobulin (P < 0.05 at 1,000 SQ-U). In both treatment groups, symptoms and nasal lavage fluid levels of fucose and alpha2-macroglobulin returned toward prechallenge levels 1 to 4 hours after the allergen challenge series.']","['BACKGROUND', 'OBJECTIVE', 'METHODS', 'RESULTS']","['Adolescent', 'Adult', 'Allergens', 'Betula', 'Cross-Over Studies', 'Double-Blind Method', 'Female', 'Fucose', 'Histamine H1 Antagonists', 'Humans', 'Loratadine', 'Male', 'Nasal Lavage Fluid', 'Nasal Mucosa', 'Plasma', 'Poaceae', 'Pollen', 'Rhinitis, Allergic, Seasonal', 'alpha-Macroglobulins']",,,,yes,"We conclude that the antihistamine desloratadine, in addition to a symptom-reducing effect, also reduces acute allergen challenge-induced mucinous secretion and plasma exudation in allergic rhinitis.",8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Do non-high-density lipoprotein cholesterol levels predict five-year outcome in the Bypass Angioplasty Revascularization Investigation ( BARI )?,"['Current National Cholesterol Education Program guidelines recommend that non-high-density lipoprotein cholesterol (non-HDL-C) be considered a secondary target of therapy among individuals with triglycerides >2.26 mmol/L. It is not known whether non-HDL-C relates to prognosis among patients with coronary heart disease.', 'Lipid levels were available at baseline among 1514 patients (73% men; mean age, 61 years) enrolled in the Bypass Angioplasty Revascularization Investigation (BARI); all had multivessel coronary artery disease. Patients were followed for 5 years. Outcomes of death, nonfatal myocardial infarction, and death or myocardial infarction were modeled using univariate and multivariate time-dependent proportional hazards methods; angina pectoris at 5 years was modeled using univariate and multivariate logistic regression. Non-HDL-C was a strong and independent predictor of nonfatal myocardial infarction (multivariate relative risk, 1.049 [95% confidence intervals, 1.006 to 1.093] for every 0.26 mmol/L increase) and angina pectoris (multivariate odds ratio, 1.049 [95% confidence intervals, 1.004 to 1.096] for every 0.26 mmol/L increase), but it did not relate to mortality. HDL-C and LDL-C did not predict events during follow-up.']","['BACKGROUND', 'RESULTS']","['Angina Pectoris', 'Angioplasty, Balloon, Coronary', 'Cholesterol', 'Cholesterol, HDL', 'Cholesterol, LDL', 'Coronary Artery Bypass', 'Coronary Artery Disease', 'Female', 'Follow-Up Studies', 'Humans', 'Lipoproteins', 'Male', 'Middle Aged', 'Myocardial Infarction', 'Prognosis', 'Risk', 'Treatment Outcome', 'Triglycerides']",,,,yes,"Among patients with lipid values in BARI, non-HDL-C is a strong and independent predictor of nonfatal myocardial infarction and angina pectoris at 5 years, even after consideration of powerful clinical variables. Our data suggest that non-HDL-C is an appropriate treatment target among patients with coronary heart disease.",8,MEDICAL,Simple Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Does granulocyte colony-stimulating factor provide protection against cardiovascular autonomic neuropathy in streptozotocin-induced diabetes in rats?,"['Cardiovascular autonomic neuropathy (CAN) is a relatively common and detrimental complication of diabetes mellitus (DM). Dysregulation of neuropeptides, such as calcitonin gene-related peptide (CGRP) and vasoactive intestinal peptide (VIP), are thought to play significant roles in diabetes-related cardiovascular disease. Accumulating evidence indicates the neuroprotective effects of granulocyte-colony stimulating factor (G-CSF) in different neurological disorders. The purpose of the study is to investigate the role of CGRP and VIP and possible effects of G-CSF on CAN in type I DM model in rats.', 'Diabetes was induced by intraperitoneal injection of streptozotocin (STZ) for 14 rats. Seven rats served as controls and 6 rats were administered G-CSF alone. DM group was randomly divided into 2 groups and received either 1mL/kg saline (DM+saline group) or 100 μg/kg/day G-CSF (DM+G-CSF group) for 4 weeks. Following electrocardiography (ECG), GCRP and VIP levels were measured in plasma samples.', 'Diabetes promoted a significant prolongation in the corrected QT interval (cQT) (P<0.001) whereas G-CSF administration significantly shortened cQT interval (P<0.05). Plasma VIP and CGRP levels of saline treated DM group were significantly lower than those of control group (P<0.05). G-CSF treatment significantly prevented the reduction in plasma VIP and CGRP levels (P<0.01 and P<0.05, respectively). Also, correlation analysis showed a significant negative correlation between the cQT and neuropeptide levels.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Animals', 'Calcitonin Gene-Related Peptide', 'Diabetes Mellitus, Experimental', 'Diabetes Mellitus, Type 1', 'Diabetic Angiopathies', 'Diabetic Neuropathies', 'Granulocyte Colony-Stimulating Factor', 'Male', 'Neuroprotective Agents', 'Rats', 'Rats, Sprague-Dawley', 'Streptozocin', 'Vasoactive Intestinal Peptide']",,,,yes,"This study suggests that G-CSF can be effective in CAN by means of neuroprotection, and plasma VIP and CGRP levels can be used for the assessment of autonomic and sensory functions in diabetes.",8,MEDICAL,Simple Datatype-Boolean,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data."
Is allopurinol the most common cause of Stevens-Johnson syndrome and toxic epidermal necrolysis in Europe and Israel?,"['Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN) are rare severe cutaneous adverse reactions.', 'We sought to update knowledge on the causes of SJS or TEN with a focus on the rate of allopurinol-associated cases and to identify risk factors for allopurinol-associated SJS or TEN.', 'We conducted a multinational case-control study.', 'In all, 379 patients with severe cutaneous adverse reactions validated as SJS or TEN and 1505 matched hospitalized control subjects were enrolled. Allopurinol was the drug most frequently associated with SJS or TEN, with 66 exposed patients (17.4%) and 28 exposed control subjects (1.9%) (adjusted odds ratio = 18, 95% confidence interval: 11-32). Allopurinol use was greater than in a previous case-control European study. Daily doses equal to or greater than 200 mg were associated with a higher risk (adjusted odds ratio = 36, 95% confidence interval: 17-76) than lower doses (adjusted odds ratio = 3.0, 95% confidence interval: 1.1-8.4). The risk was restricted to short-term use (<or=8 weeks). The use of comedications did not increase the risk.']","['BACKGROUND', 'OBJECTIVE', 'METHODS', 'RESULTS']","['Adult', 'Aged', 'Allopurinol', 'Case-Control Studies', 'Demography', 'Dose-Response Relationship, Drug', 'Drug Administration Schedule', 'Drug Therapy, Combination', 'Europe', 'Female', 'Gout Suppressants', 'Humans', 'Incidence', 'Israel', 'Male', 'Middle Aged', 'Population Surveillance', 'Stevens-Johnson Syndrome']",,,,yes,Nonsystematic recording of the indications for allopurinol use was a limitation.,8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Is intrarenal arterial resistance associated with microvascular complications in Chinese type 2 diabetic patients?,"['Increased renal arterial resistance is associated with various types of chronic renal parenchymal diseases. A resistance index (RI) > 0.8 predicts deterioration in renal function in diabetic subjects. However, the association between renal RI and other diabetic complications has not been investigated. In this study, we examined the association between intrarenal arterial RI and diabetic complications in Chinese type 2 diabetic subjects.', 'Three hundred and eighty-seven Chinese type 2 diabetic patients were recruited from a structured assessment programme to evaluate their risk factors and complications as a part of the quality improvement programme at the Prince of Wales Hospital. All subjects underwent ultrasound examinations for the assessment of intrarenal arterial RI of both kidneys. Clinical and biochemical parameters, including diabetes-related microvascular complications (nephropathy, retinopathy and sensory neuropathy) and macrovascular diseases, were examined.', 'The mean RI of patients with any microvascular complications (0.70 ± 0.09 versus 0.65 ± 0.06) such as nephropathy (0.71 ± 0.09 versus 0.66 ± 0.06), retinopathy (0.71 ± 0.08 versus 0.67 ± 0.08) and sensory neuropathy (0.75 ± 0.07 versus 0.68 ± 0.08) and with any macrovascular complications (0.71 ± 0.09 versus 0.68 ± 0.08) was higher than those without (P < 0.05). On multivariate analysis, after controlling for confounding variables, an RI ≥0.75 was associated with microvascular complications, nephropathy, retinopathy and sensory neuropathy, with odds ratio of 4.02 [95% confidence interval (CI) 1.72-9.4], 4.99 (2.61-9.56), 2.78 (1.52-5.09) and 5.74 (1.8-18.3), respectively. The association of RI with macrovascular complications was not significant in multivariate analysis.']","['BACKGROUND', 'METHODS', 'RESULTS']","['Aged', 'Diabetes Complications', 'Diabetes Mellitus, Type 2', 'Diabetic Nephropathies', 'Diabetic Neuropathies', 'Diabetic Retinopathy', 'Female', 'Follow-Up Studies', 'Humans', 'Male', 'Middle Aged', 'Prognosis', 'Risk Factors', 'Vascular Resistance']",,,,yes,"Increased intrarenal arterial resistance was independently associated with an increased risk of microvascular complications including diabetic nephropathy, diabetic retinopathy and diabetic sensory neuropathy in Chinese type 2 diabetic patients.",8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Does endothelin mediate a component of the enhanced myogenic responsiveness of arterioles from hypertensive rats?,"['To determine if the enhanced pressure-induced constriction of arterioles isolated from hypertensive rats is mediated by the endothelium.', 'We utilized isolated, cannulated first-order arterioles (80 to 110 microns, i.d.) from the rat cremaster muscle of spontaneously hypertensive (SHR) and normotensive (WKY) rats. Arteriolar diameter was measured in response to changes in intraluminal pressures as well as various pharmacological agents in the presence and absence of an intact endothelial cell lining.', 'All arterioles developed intrinsic tone (approximately 74% of passive). Pressure-diameter relationships over a pressure range of 30 to 170 cm H2O demonstrated that the myogenic response of arterioles derived from both WKY and SHR was not dependent upon an intact endothelium. However, at higher pressures (> 170 cm H2O) the ability of the denuded arteriole from the SHR to maintain a constricted diameter was completely abolished. Treatment of arterioles from the SHR having intact endothelium with diclofenac (10(-5) M; 30 min) to inhibit the effect of cyclooxygenase had no effect on the high pressure constriction. In contrast, application of BQ-123 (10(-7) M; 30 min), an ET-A receptor blocker used to inhibit vascular smooth muscle responses to endothelin, completely abolished the arteriolar constriction at higher pressures.']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Animals', 'Anti-Inflammatory Agents, Non-Steroidal', 'Arterioles', 'Culture Techniques', 'Diclofenac', 'Endothelins', 'Hypertension', 'Male', 'Microscopy, Video', 'Muscle, Smooth, Vascular', 'Rats', 'Rats, Inbred SHR', 'Rats, Inbred WKY']",,,,yes,"Therefore, in the hypertensive, arteriolar vasomotor responses to changes in intraluminal pressure is due to at least two mechanisms; one that is intrinsic to vascular smooth muscle (i.e., myogenic) and a second that involves an endothelial cell release of endothelin.",0,SCIENCE,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Are depressive Symptoms the Main Predictor for Subjective Sleep Quality in Patients with Mild Cognitive Impairment -- A Controlled Study?,"['Controlled data on predictors of subjective sleep quality in patients with memory complaints are sparse. To improve the amount of comprehensive data on this topic, we assessed factors associated with subjective sleep quality in patients from our memory clinic and healthy individuals.', 'Between February 2012 and August 2014 patients with mild cognitive impairment (MCI) and subjective cognitive decline (SCD) from our memory clinic and healthy controls were recruited. Apart from a detailed neuropsychological assessment, the subjective sleep quality, daytime sleepiness and depressive symptoms were assessed using the Pittsburgh Sleep Quality Index (PSQI), the Epworth Sleepiness Scale (ESS) and the Beck Depression Inventory (BDI-II).', 'One hundred fifty eight consecutive patients (132 (84%) MCI patients and 26 (16%) SCD patients) and 75 healthy controls were included in the study. Pairwise comparison of PSQI scores showed that non-amnestic MCI (naMCI) patients (5.4 ± 3.5) had significantly higher PSQI scores than controls (4.3 ± 2.8, p = .003) Pairwise comparison of PSQI subscores showed that naMCI patients (1.1 ± 0.4) had significantly more ""sleep disturbances"" than controls (0.9 ± 0.5, p = .003). Amnestic MCI (aMCI) (0.8 ± 1.2, p = .006) and naMCI patients (0.7 ± 1.2, p = .002) used ""sleep medication"" significantly more often than controls (0.1 ± 0.6) Both, aMCI (11.5 ± 8.6, p < .001) and naMCI (11.5 ± 8.6, p < .001) patients showed significantly higher BDI-II scores than healthy controls (6.1 ± 5.3). Linear regression analysis showed that the subjective sleep quality was predicted by depressive symptoms in aMCI (p < .0001) and naMCI (p < .0001) patients as well as controls (p < .0001). This means, that more depressive symptoms worsened subjective sleep quality. In aMCI patients we also found a significant interaction between depressive symptoms and global cognitive function (p = .002).']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Aged', 'Aged, 80 and over', 'Case-Control Studies', 'Cognitive Dysfunction', 'Depression', 'Female', 'Humans', 'Male', 'Memory', 'Middle Aged', 'Neuropsychological Tests', 'Psychiatric Status Rating Scales', 'Sleep']",,,,yes,"Depressive symptoms were the main predictor of subjective sleep quality in MCI patients and controls, but not in SCD patients. Better global cognitive function ameliorated the negative effect of depressive symptoms on the subjective sleep quality in aMCI patients.",8,MEDICAL,Simple Datatype-String,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
Do nailfold capillaroscopy abnormalities correlate with cutaneous and visceral involvement in systemic sclerosis patients?,"['The aim of this study was to correlate quantitative and semiquantitative nailfold capillaroscopy (NFC) parameters with the extent of cutaneous and visceral involvement in systemic sclerosis (SSc) patients.', 'The presence of clinical and serological alterations was evaluated retrospectively and correlated with NFC findings (number of capillary loops/mm, vascular deletion score and number of enlarged and giant capillary loops). For evaluation of disease extension five manifestations were analyzed: finger pad lesions, skin involvement, esophageal involvement, interstitial lung disease, and pulmonary hypertension.', ""There were 105 NFC examinations in 92 patients, 13 of whom were evaluated at two different time points. Patients with diffuse cutaneous SSc had a higher vascular deletion score than patients with limited cutaneous SSc, sine scleroderma SSc, and overlap syndrome (1.67+/-0.91 vs 0.99+/-0.82; p=0.0005). Modified Rodnan's skin score correlated positively with capillary deletion, evaluated by the vascular deletion score and the number of capillary loops/mm (p<0.001 and p=0.012; respectively). Patients with three or more involved tracts presented lower number of capillary loops/mm (8.00+/-1.69 vs 9.23+/-1.31 capillary loops/mm; p=0.025) and a higher vascular deletion score (1.41+/-0.95 vs 0.73+/-0.76; p=0.027) when compared to patients with less than three affected tracts. Vascular deletion score was significantly higher in patients with anti-Scl-70 antibodies that in patients without anti-Scl-70 antibodies (p=0.02).""]","['OBJECTIVE', 'METHODS', 'RESULTS']","['Adult', 'Aged', 'Female', 'Humans', 'Male', 'Microscopic Angioscopy', 'Middle Aged', 'Retrospective Studies', 'Scleroderma, Systemic', 'Skin Diseases', 'Viscera', 'Young Adult']",,,,yes,"NFC abnormalities correlated positively with the diffuse form of SSc, the degree of cutaneous involvement, the number of affected tracts, and the presence of anti-Scl-70 antibodies.",8,MEDICAL,Simple Datatype-Boolean,"Analytical/Evaluative (Convergent Thinking): This merged category is for queries that involve dissecting complex information or data to understand underlying patterns, reasons, or to make informed judgements. Queries in this category seek a deeper understanding that supports decision-making, comparison of options, or evaluating alternatives. The process involves both analysis (to break down and understand) and evaluation (to assess, compare, and decide), acknowledging that these processes often occur in tandem. This category involves queries where the goal is to converge upon a specific answer or decision through analysis and evaluation."
