qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
information,Do you have information about Kidney Transplantation,"Summary : A kidney transplant is an operation that places a healthy kidney in your body. The transplanted kidney takes over the work of the two kidneys that failed, so you no longer need dialysis.     During a transplant, the surgeon places the new kidney in your lower abdomen and connects the artery and vein of the new kidney to your artery and vein. Often, the new kidney will start making urine as soon as your blood starts flowing through it. But sometimes it takes a few weeks to start working.     Many transplanted kidneys come from donors who have died. Some come from a living family member. The wait for a new kidney can be long.    If you have a transplant, you must take drugs for the rest of your life, to keep your body from rejecting the new kidney.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""KT"", ""full_form"": ""Kidney Transplantation""}]}",Do you have information about KT,Do you have information about Kidney Transplantation
information,What is (are) Nutrition for Advanced Chronic Kidney Disease in Adults ?,"Everyone should know about fat sources because eating the wrong kinds of fat and too much fat increases the risk of clogged blood vessels and heart problems. Fat provides energy, helps produce hormonelike substances that regulate blood pressure and other heart functions, and carries fat-soluble vitamins. Everyone needs dietary fat, but some fats are healthier than others. People with CKD are at higher risk of having a heart attack or stroke. Therefore, people with CKD should be especially careful about how dietary fat affects their heart health.
                
People with advanced CKD should talk with a dietitian about healthy and unhealthy sources of fat. Saturated fats and trans-fatty acids can raise blood cholesterol levels and clog blood vessels. Saturated fats are found in animal products such as red meat, poultry, whole milk, and butter. These fats are usually solid at room temperature. Trans-fatty acids are often found in commercially baked goods such as cookies and cakes and in fried foods like doughnuts and french fries.
                
A dietitian can suggest healthy ways to include fat in the diet, especially if more calories are needed. Vegetable oils such as corn or safflower oil are healthier than animal fats such as butter or lard. Hydrogenated vegetable oils should be avoided because they are high in trans-fatty acids. Monounsaturated fatsolive, peanut, and canola oilsare healthy alternatives to animal fats. The table below shows the sources of fats, broken down into three types of fats that should be eaten less often and good fats that can be eaten more often.
                
Sources of Fats
                
Eat Less Often    Eat More Often        Saturated fats          - red meat      - poultry      - whole milk      - butter      - lard        Monounsaturated fats          - corn oil      - safflower oil      - olive oil      - peanut oil      - canola oil            Trans-fatty acids          - commercial baked goods      - french fries      - doughnuts            Hydrogenated vegetable oils          - margarine      - shortening","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ACKD"", ""full_form"": ""Advanced Chronic Kidney Disease""}]}",What is (are) Nutrition for ACKD in Adults ?,What is (are) Nutrition for Advanced Chronic Kidney Disease in Adults ?
information,What is (are) Congenital bilateral absence of the vas deferens ?,"Congenital bilateral absence of the vas deferens (CBAVD) occurs in males when the tubes that carry sperm out of the testes (vas deferens) fail to develop properly. Although the testes usually develop and function normally, sperm cannot be transported through the vas deferens to become part of semen. As a result, men with this condition are unable to father children (infertile) unless they use assisted reproductive technologies. This condition has not been reported to affect sex drive or sexual performance. This condition can occur alone or as a sign of cystic fibrosis, an inherited disease of the mucus glands. Many men with CBAVD do not have the other characteristic features of cystic fibrosis; however, some men with this condition may experience mild respiratory or digestive problems.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CBAVD"", ""full_form"": ""Congenital bilateral absence of the vas deferens""}]}",What is (are) CBAVD ?,What is (are) Congenital bilateral absence of the vas deferens ?
treatment,What are the treatments for SYNGAP1-related intellectual disability ?,"These resources address the diagnosis or management of SYNGAP1-related intellectual disability:  - Eunice Kennedy Shriver National Institute of Child Health and Human Development: What Are Treatments for Intellectual and Developmental Disabilities?  - Genetic Testing Registry: Mental retardation, autosomal dominant 5   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""SYNGAP1"", ""full_form"": ""Synaptic Ras GTPase activating protein 1""}]}",What are the treatments for SYNGAP1-related intellectual disability ?,What are the treatments for Synaptic Ras GTPase activating protein 1-related intellectual disability ?
inheritance,Is Hereditary sensory neuropathy type 1 inherited ?,"How is hereditary sensory neuropathy type 1 inherited? Hereditary sensory neuropathy type 1 (HSN1) is inherited in an autosomal dominant manner. This means that having only one changed (mutated) copy of the responsible gene in each cell is enough to cause signs and symptoms of the condition. When a person with an autosomal dominant condition has children, each child has a 50% (1 in 2) risk to inherit the mutated gene from the affected parent. In rare cases, a mutation that causes HSN1 occurs sporadically as a new (de novo) mutation in a person without an affected parent.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HSN1"", ""full_form"": ""Hereditary sensory neuropathy type 1""}]}",Is HSN1 inherited ?,Is Hereditary sensory neuropathy type 1 inherited ?
information,What is (are) Peripheral Arterial Disease (P.A.D.) ?,"Arteries Clogged With Plaque Peripheral arterial disease (P.A.D.) is a disease in which plaque (plak) builds up in the arteries that carry blood to your head, organs, and limbs. Plaque is made up of fat, cholesterol, calcium, fibrous tissue, and other substances in the blood. When plaque builds up in the body's arteries, the condition is called atherosclerosis (ATH-er-o-skler-O-sis). Over time, plaque can harden and narrow the arteries. This limits the flow of oxygen-rich blood to your organs and other parts of your body. P.A.D. usually affects the arteries in the legs, but it can also affect the arteries that carry blood from your heart to your head, arms, kidneys, and stomach. Blocked blood flow to your legs can cause pain and numbness. It also can raise your risk of getting an infection in the affected limbs. Your body may have a hard time fighting the infection. Why is P.A.D. Dangerous? Over time, the plaque may crack and cause blood clots to form. These blood clots can block arteries, causing pain, numbness, inflammation, and even permanent tissue damage in the affected part of the body. If severe enough, blocked blood flow can cause tissue death (also called gangrene.) In very serious cases, this can lead to leg amputation. P.A.D. currently affects 8 million to 12 million Americans. About 1 in every 20 Americans over the age of 50 has P.A.D. African Americans are more than twice as likely as Caucasians to have P.A.D. If you have P.A.D., your risk of coronary artery disease, heart attack, stroke, and transient ischemic attack (""mini-stroke"") is much higher than in people without P.A.D. If you have coronary artery disease, you have a 1 in 3 chance of having blocked leg arteries. Although P.A.D. is serious, it is treatable. If you have the disease, it's important to see your doctor regularly and treat the underlying atherosclerosis. Other Names for Peripheral Arterial Disease -  Atherosclerotic peripheral arterial disease   -  Claudication (klaw-dih-KA-shen)   -  Hardening of the arteries   -  Leg cramps from poor circulation   -  Peripheral vascular disease   -  Poor circulation   -  Vascular disease  Atherosclerotic peripheral arterial disease Claudication (klaw-dih-KA-shen) Hardening of the arteries Leg cramps from poor circulation Peripheral vascular disease Poor circulation Vascular disease","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""P.A.D."", ""full_form"": ""Peripheral Arterial Disease""}]}",What is (are) P.A.D. (P.A.D.) ?,What is (are) Peripheral Arterial Disease (P.A.D.) ?
genetic changes,What are the genetic changes related to activated PI3K-delta syndrome ?,"Activated PI3K-delta syndrome is caused by mutations in the PIK3CD gene, which provides instructions for making a protein called p110 delta (p110). This protein is one piece (subunit) of an enzyme called phosphatidylinositol 3-kinase (PI3K), which turns on signaling pathways within cells. The version of PI3K containing the p110 subunit, called PI3K-delta, is specifically found in white blood cells, including B cells and T cells. PI3K-delta signaling is involved in the growth and division (proliferation) of white blood cells, and it helps direct B cells and T cells to mature (differentiate) into different types, each of which has a distinct function in the immune system.  PIK3CD gene mutations involved in activated PI3K-delta syndrome lead to production of an altered p110 protein. A PI3K-delta enzyme containing the altered subunit is abnormally turned on (activated). Studies indicate that overactive PI3K-delta signaling alters the differentiation of B cells and T cells, leading to production of cells that cannot respond to infections and that die earlier than usual. Lack of functioning B cells and T cells makes it difficult for people with this disorder to fight off bacterial and viral infections. Overactivation of PI3K-delta signaling can also stimulate abnormal proliferation of white blood cells, leading to lymphadenopathy and nodular lymphoid hyperplasia in some affected individuals. An increase in B cell proliferation in combination with reduced immune system function may contribute to development of B-cell lymphoma.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""PI3K-delta"", ""full_form"": ""Phosphoinositide 3-kinase delta""}]}",What are the genetic changes related to activated PI3K-delta syndrome ?,What are the genetic changes related to activated Phosphoinositide 3-kinase delta syndrome ?
information,Do you have information about Radiation Therapy,"Summary : Radiation therapy is a cancer treatment. It uses high doses of radiation to kill cancer cells and stop them from spreading. About half of all cancer patients receive it. The radiation may be external, from special machines, or internal, from radioactive substances that a doctor places inside your body. The type of radiation therapy you receive depends on many factors, including       - The type of cancer    - The size of the cancer    - The cancer's location in the body    - How close the cancer is to normal tissues that are sensitive to radiation    - How far into the body the radiation needs to travel    - Your general health and medical history    - Whether you will have other types of cancer treatment    - Other factors, such as your age and other medical conditions       Radiation therapy can damage normal cells as well as cancer cells. Treatment must be carefully planned to minimize side effects. Common side effects include skin changes and fatigue. Other side effects depend on the part of your body being treated.    Sometimes radiation is used with other treatments, like surgery or chemotherapy.     NIH: National Cancer Institute","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""RT"", ""full_form"": ""Radiation Therapy""}]}",Do you have information about RT,Do you have information about Radiation Therapy
symptoms,What are the symptoms of Convulsions benign familial neonatal dominant form ?,"What are the signs and symptoms of Convulsions benign familial neonatal dominant form? The Human Phenotype Ontology provides the following list of signs and symptoms for Convulsions benign familial neonatal dominant form. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Generalized tonic-clonic seizures - Hypertonia - Normal interictal EEG - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BFND"", ""full_form"": ""Convulsions benign familial neonatal dominant form""}]}",What are the symptoms of BFND ?,What are the symptoms of Convulsions benign familial neonatal dominant form ?
inheritance,Is progressive supranuclear palsy inherited ?,"Most cases of progressive supranuclear palsy are sporadic, which means they occur in people with no history of the disorder in their family. However, some people with this disorder have had family members with related conditions, such as parkinsonism and a loss of intellectual functions (dementia).  When progressive supranuclear palsy runs in families, it can have an autosomal dominant pattern of inheritance. Autosomal dominant inheritance means one copy of an altered gene in each cell is sufficient to cause the disorder.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PSP"", ""full_form"": ""progressive supranuclear palsy""}]}",Is PSP inherited ?,Is progressive supranuclear palsy inherited ?
frequency,How many people are affected by oculopharyngeal muscular dystrophy ?,"In Europe, the prevalence of oculopharyngeal muscular dystrophy is estimated to be 1 in 100,000 people. The autosomal dominant form of this condition is much more common in the French-Canadian population of the Canadian province of Quebec, where it is estimated to affect 1 in 1,000 individuals. Autosomal dominant oculopharyngeal muscular dystrophy is also seen more frequently in the Bukharan (Central Asian) Jewish population of Israel, affecting 1 in 600 people.  The autosomal recessive form of this condition is very rare; only a few cases of autosomal recessive oculopharyngeal muscular dystrophy have been identified.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""OPMD"", ""full_form"": ""oculopharyngeal muscular dystrophy""}]}",How many people are affected by OPMD ?,How many people are affected by oculopharyngeal muscular dystrophy ?
treatment,What are the treatments for familial cold autoinflammatory syndrome ?,These resources address the diagnosis or management of familial cold autoinflammatory syndrome:  - Genetic Testing Registry: Familial cold autoinflammatory syndrome 2  - Genetic Testing Registry: Familial cold urticaria   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FCAS"", ""full_form"": ""familial cold autoinflammatory syndrome""}]}",What are the treatments for FCAS ?,What are the treatments for familial cold autoinflammatory syndrome ?
frequency,How many people are affected by SYNGAP1-related intellectual disability ?,SYNGAP1-related intellectual disability is a relatively common form of cognitive impairment. It is estimated to account for 1 to 2 percent of intellectual disability cases.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""SYNGAP1"", ""full_form"": ""Synaptic Ras GTPase Activating Protein 1""}]}",How many people are affected by SYNGAP1-related intellectual disability ?,How many people are affected by Synaptic Ras GTPase Activating Protein 1-related intellectual disability ?
treatment,What are the treatments for Aplastic Anemia ?,"Treatments for aplastic anemia include blood transfusions, blood and marrow stem cell transplants, and medicines. These treatments can prevent or limit complications, relieve symptoms, and improve quality of life.
                
Blood and marrow stem cell transplants may cure the disorder in some people who are eligible for a transplant. Removing a known cause of aplastic anemia, such as exposure to a toxin, also may cure the condition.
                
Who Needs Treatment
                
People who have mild or moderate aplastic anemia may not need treatment as long as the condition doesn't get worse. People who have severe aplastic anemia need medical treatment right away to prevent complications.
                
People who have very severe aplastic anemia need emergency medical care in a hospital. Very severe aplastic anemia can be fatal if it's not treated right away.
                
Blood Transfusions
                
Blood transfusions can help keep blood cell counts at acceptable levels. A blood transfusion is a common procedure in which blood is given to you through an intravenous (IV) line in one of your blood vessels.
                
Transfusions require careful matching of donated blood with the recipient's blood.
                
Blood transfusions help relieve the symptoms of aplastic anemia, but they're not a permanent treatment.
                
Blood and Marrow Stem Cell Transplants
                
A blood and marrow stem cell transplant replaces damaged stem cells with healthy ones from another person (a donor).
                
During the transplant, which is like a blood transfusion, you get donated stem cells through a tube placed in a vein in your chest. Once the stem cells are in your body, they travel to your bone marrow and begin making new blood cells.
                
Blood and marrow stem cell transplants may cure aplastic anemia in people who can have this type of treatment. The transplant works best in children and young adults with severe aplastic anemia who are in good health and who have matched donors.
                
Older people may be less able to handle the treatments needed to prepare the body for the transplant. They're also more likely to have complications after the transplant.
                
If you have aplastic anemia, talk with your doctor about whether a blood and marrow stem cell transplant is an option for you.
                
Medicines
                
If you have aplastic anemia, your doctor may prescribe medicines to:
                
Stimulate your bone marrow
                
Suppress your immune system
                
Prevent and treat infections
                
Medicines To Stimulate Bone Marrow
                
Man-made versions of substances that occur naturally in the body can stimulate the bone marrow to make more blood cells. Examples of these types of medicines include erythropoietin and colony-stimulating factors.
                
These medicines have some risks. You and your doctor will work together to decide whether the benefits of these medicines outweigh the risks. If this treatment works well, it can help you avoid the need for blood transfusions.
                
Medicines To Suppress the Immune System
                
Research suggests that aplastic anemia may sometimes occur because the body's immune system attacks its own cells by mistake. For this reason, your doctor may prescribe medicines to suppress your immune system.
                
These medicines allow your bone marrow to start making blood cells again. They also may help you avoid the need for blood transfusions.
                
Medicines that suppress the immune system don't cure aplastic anemia. However, they can relieve its symptoms and reduce complications. These medicines often are used for people who can't have blood and marrow stem cell transplants or who are waiting for transplants.
                
Three medicinesoften given togethercan suppress the body's immune system. They are antithymocyte globulin (ATG), cyclosporine, and methylprednisolone.
                
It may take a few months to notice the effects of these medicines. Most often, as blood cell counts rise, symptoms lessen. Blood cell counts in people who respond well to these medicines usually don't reach normal levels. However, the blood cell counts often are high enough to allow people to do their normal activities.
                
People who have aplastic anemia may need long-term treatment with these medicines.
                
Medicines that suppress the immune system can have side effects. They also may increase the risk of developing leukemia (lu-KE-me-ah) or myelodysplasia (MI-e-lo-dis-PLA-ze-ah; MDS). Leukemia is a cancer of the blood cells. MDS is a condition in which the bone marrow makes too many faulty blood cells.
                
Medicines To Prevent and Treat Infections
                
If you have aplastic anemia, you might be at risk for infections due to low white blood cell counts. Your doctor may prescribe antibiotic and antiviral medicines to prevent and treat infections.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AA"", ""full_form"": ""Aplastic Anemia""}]}",What are the treatments for AA ?,What are the treatments for Aplastic Anemia ?
inheritance,Is factor X deficiency inherited ?,"When this condition is caused by mutations in the F10 gene, it is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  Acquired factor X deficiency is not inherited, and generally occurs in individuals with no history of the disorder in their family.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FX"", ""full_form"": ""factor X""}]}",Is FX deficiency inherited ?,Is factor X deficiency inherited ?
treatment,What are the treatments for Childhood Hodgkin Lymphoma ?,"Key Points
                    - There are different types of treatment for children with Hodgkin lymphoma.     - Children with Hodgkin lymphoma should have their treatment planned by a team of health care providers who are experts in treating childhood cancer.    - Children and adolescents may have treatment-related side effects that appear months or years after treatment for Hodgkin lymphoma.     - Five types of standard treatment are used:         - Chemotherapy      - Radiation therapy      - Targeted therapy     - Surgery     - High-dose chemotherapy with stem cell transplant         - New types of treatment are being tested in clinical trials.         - Proton beam radiation therapy        - Patients may want to think about taking part in a clinical trial.    - Patients can enter clinical trials before, during, or after starting their cancer treatment.    - Follow-up tests may be needed.
                
                
                    There are different types of treatment for children with Hodgkin lymphoma.
                    Different types of treatment are available for children with Hodgkin lymphoma. Some treatments are standard and some are being tested in clinical trials. A treatment clinical trial is a research study meant to help improve current treatments or obtain information on new treatments for patients with cancer. When clinical trials show that a new treatment is better than the standard treatment, the new treatment may become the standard treatment.   Because cancer in children is rare, taking part in a clinical trial should be considered. Some clinical trials are open only to patients who have not started treatment.
                
                
                    Children with Hodgkin lymphoma should have their treatment planned by a team of health care providers who are experts in treating childhood cancer.
                    Treatment will be overseen by a pediatric oncologist, a doctor who specializes in treating children with cancer. The pediatric oncologist works with other pediatric health care providers who are experts in treating children with Hodgkin lymphoma and who specialize in certain areas of medicine. These may include the following specialists:         -  Pediatrician.    -  Medical oncologist /hematologist.    -  Pediatric surgeon.    -  Radiation oncologist.    -  Endocrinologist.    -  Pediatric nurse specialist.    -  Rehabilitation specialist.    -  Psychologist.    -  Social worker.    -  Child-life specialist.        The treatment of Hodgkin lymphoma in adolescents and young adults may be different than the treatment for children. Some adolescents and young adults are treated with an adult treatment regimen.
                
                
                    Children and adolescents may have treatment-related side effects that appear months or years after treatment for Hodgkin lymphoma.
                    Some cancer treatments cause side effects that continue or appear months or years after cancer treatment has ended. These are called late effects. Because late effects affect health and development, regular follow-up exams are important.   Late effects of cancer treatment may include:         - Physical problems that affect the following:               - Development of sex and reproductive organs.      -  Fertility (ability to have children).      - Bone and muscle growth and development.      -  Thyroid, heart, or lung function.      - Teeth, gums, and salivary gland function.      -  Spleen function (increased risk of infection).              - Changes in mood, feelings, thinking, learning, or memory.    -  Second cancers (new types of cancer).         For female survivors of Hodgkin lymphoma, there is an increased risk of breast cancer. This risk depends on the amount of radiation therapy they received to the breast during treatment and the chemotherapy regimen used. The risk of breast cancer is decreased if these female survivors also received radiation therapy to the ovaries.    It is suggested that female survivors who received radiation therapy to the breast have a mammogram once a year starting 8 years after treatment or at age 25 years, whichever is later. Female survivors of childhood Hodgkin lymphoma who have breast cancer have an increased risk of dying from the disease compared to patients with no history of Hodgkin lymphoma who have breast cancer.   Some late effects may be treated or controlled. It is important to talk with your child's doctors about the possible late effects caused by some treatments. (See the PDQ summary on Late Effects of Treatment for Childhood Cancer for more information).
                
                
                    Five types of standard treatment are used:
                    Chemotherapy     Chemotherapy is a cancer treatment that uses drugs to stop the growth of cancer cells, either by killing the cells or by stopping them from dividing. When chemotherapy is taken by mouth or injected into a vein or muscle, the drugs enter the bloodstream and can reach cancer cells throughout the body (systemic chemotherapy). When chemotherapy is placed directly into the cerebrospinal fluid, an organ, or a body cavity such as the abdomen, the drugs mainly affect cancer cells in those areas (regional chemotherapy). Combination chemotherapy is treatment using more than one anticancer drug.     The way the chemotherapy is given depends on the risk group. For example, children with low-risk Hodgkin lymphoma receive fewer cycles of treatment, fewer anticancer drugs, and lower doses of anticancer drugs than children with high-risk lymphoma.    See Drugs Approved for Hodgkin Lymphoma for more information.       Radiation therapy     Radiation therapy is a cancer treatment that uses high-energy x-rays or other types of radiation to kill cancer cells or keep them from growing. There are two types of radiation therapy:            -  External radiation therapy uses a machine outside the body to send radiation toward the cancer. Certain ways of giving radiation therapy can help keep radiation from damaging nearby healthy tissue. These types of external radiation therapy include the following:                  -  Conformal radiation therapy: Conformal radiation therapy is a type of external radiation therapy that uses a computer to make a 3-dimensional (3-D) picture of the tumor and shapes the radiation beams to fit the tumor.       -  Intensity-modulated radiation therapy (IMRT): IMRT is a type of 3-dimensional (3-D) radiation therapy that uses a computer to make pictures of the size and shape of the tumor. Thin beams of radiation of different intensities (strengths) are aimed at the tumor from many angles.                -  Internal radiation therapy uses a radioactive substance sealed in needles, seeds, wires, or catheters that are placed directly into or near the cancer.           Radiation therapy may be given, based on the childs risk group and chemotherapy regimen. External radiation therapy is used to treat childhood Hodgkin lymphoma. The radiation is given only to the lymph nodes or other areas with cancer. Internal radiation therapy is not used to treat Hodgkin lymphoma.       Targeted therapy     Targeted therapy is a type of treatment that uses drugs or other substances to identify and attack specific cancer cells without harming normal cells. Monoclonal antibody therapy and proteasome inhibitor therapy are being used in the treatment of childhood Hodgkin lymphoma.    Monoclonal antibody therapy is a cancer treatment that uses antibodies made in the laboratory from a single type of immune system cell. These antibodies can identify substances on cancer cells or normal substances that may help cancer cells grow. The antibodies attach to the substances and kill the cancer cells, block their growth, or keep them from spreading. Monoclonal antibodies are given by infusion. They may be used alone or to carry drugs, toxins, or radioactive material directly to cancer cells.     In children, rituximab may be used to treat refractory or recurrent Hodgkin lymphoma. Brentuximab, nivolumab, pembrolizumab, and atezolizumab are monoclonal antibodies being studied to treat children.    Proteasome inhibitor therapy is a type of targeted therapy that blocks the action of proteasomes (proteins that remove other proteins the body no longer needs) in cancer cells and may prevent the growth of tumors. Bortezomib is a proteasome inhibitor used to treat refractory or recurrent childhood Hodgkin lymphoma.        Surgery     Surgery may be done to remove as much of the tumor as possible for localized nodular lymphocyte -predominant childhood Hodgkin lymphoma.       High-dose chemotherapy with stem cell transplant      High-dose chemotherapy with stem cell transplant is a way of giving high doses of chemotherapy and replacing blood -forming cells destroyed by the cancer treatment. Stem cells (immature blood cells) are removed from the blood or bone marrow of the patient or a donor and are frozen and stored. After the chemotherapy is completed, the stored stem cells are thawed and given back to the patient through an infusion. These reinfused stem cells grow into (and restore) the body's blood cells.    See Drugs Approved for Hodgkin Lymphoma for more information.
                
                
                    New types of treatment are being tested in clinical trials.
                    This summary section describes treatments that are being studied in clinical trials. It may not mention every new treatment being studied. Information about clinical trials is available from the NCI website.     Proton beam radiation therapy     Proton-beam therapy is a type of high-energy, external radiation therapy that uses streams of protons (small, positively-charged particles of matter) to make radiation. This type of radiation therapy may help lessen the damage to healthy tissue near the tumor.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your child's condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.   For patients who receive chemotherapy alone, a PET scan may be done 3 weeks or more after treatment ends. For patients who receive radiation therapy last, a PET scan should not be done until 8 to 12 weeks after treatment.
                                
                
													            Treatment Options for Children and Adolescents with Hodgkin Lymphoma
													            
													                
													                    Low-Risk Classical Childhood Hodgkin Lymphoma
													                    Treatment of low-risk classical childhood Hodgkin lymphoma may include the following:          -  Combination chemotherapy.    -  Radiation therapy may also be given to the areas with cancer.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage I childhood Hodgkin lymphoma and stage II childhood Hodgkin lymphoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.
													                
													                
													                    Intermediate-Risk Classical Childhood Hodgkin Lymphoma
													                    Treatment of intermediate-risk classical childhood Hodgkin lymphoma may include the following:         -  Combination chemotherapy.    -  Radiation therapy may also be given to the areas with cancer.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage I childhood Hodgkin lymphoma, stage II childhood Hodgkin lymphoma, stage III childhood Hodgkin lymphoma and stage IV childhood Hodgkin lymphoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.
													                
													                
													                    High-Risk Classical Childhood Hodgkin Lymphoma
													                    Treatment of high-risk classical childhood Hodgkin lymphoma may include the following:         - Higher dose combination chemotherapy.    -  Radiation therapy may also be given to the areas with cancer.    - A clinical trial of targeted therapy and combination chemotherapy. Radiation therapy may also be given to the areas with cancer.         Check the list of NCI-supported cancer clinical trials that are now accepting patients with stage III childhood Hodgkin lymphoma and stage IV childhood Hodgkin lymphoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.
													                
													                
													                    Nodular Lymphocyte-Predominant Childhood Hodgkin Lymphoma
													                    Treatment of nodular lymphocyte-predominant childhood Hodgkin lymphoma may include the following:         -  Surgery, if the tumor can be completely removed.    -  Chemotherapy with or without low-dose external radiation therapy.        Check the list of NCI-supported cancer clinical trials that are now accepting patients with childhood nodular lymphocyte predominant Hodgkin lymphoma. For more specific results, refine the search by using other search features, such as the location of the trial, the type of treatment, or the name of the drug. Talk with your child's doctor about clinical trials that may be right for your child. General information about clinical trials is available from the NCI website.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HL"", ""full_form"": ""Hodgkin Lymphoma""}]}",What are the treatments for Childhood HL ?,What are the treatments for Childhood Hodgkin Lymphoma ?
information,What is (are) Macular Degeneration ?,"Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.     AMD affects the macula, the part of the eye that allows you to see fine detail. It does not hurt, but it causes cells in the macula to die. There are two types: wet and dry. Wet AMD happens when abnormal blood vessels grow under the macula. These new blood vessels often leak blood and fluid. Wet AMD damages the macula quickly. Blurred vision is a common early symptom. Dry AMD happens when the light-sensitive cells in the macula slowly break down. Your gradually lose your central vision. A common early symptom is that straight lines appear crooked.    Regular comprehensive eye exams can detect macular degeneration before the disease causes vision loss. Treatment can slow vision loss. It does not restore vision.    NIH: National Eye Institute","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MD"", ""full_form"": ""Macular Degeneration""}]}",What is (are) MD ?,What is (are) Macular Degeneration ?
