qtype,question,answer,ambiguous_question,unambiguous_question,domain_idx,intent,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_raw_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_raw_question_answered_by_gpt35,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35,RAW_NO_INTENT_analyzed_question_answered_by_gpt35_correct,RAW_NO_INTENT_raw_question_answered_by_gpt35_correct,RAW_NO_INTENT_raw_question_answered_by_gpt35,RAW_NO_INTENT_analyzed_question_answered_by_gpt35,RAW_ALL_analyzed_question_answered_by_gpt35_correct,RAW_ALL_raw_question_answered_by_gpt35_correct,RAW_ALL_raw_question_answered_by_gpt35,RAW_ALL_analyzed_question_answered_by_gpt35
information,What is (are) aspartylglucosaminuria ?,"Aspartylglucosaminuria is a condition that causes a progressive decline in mental functioning.  Infants with aspartylglucosaminuria appear healthy at birth, and development is typically normal throughout early childhood. The first sign of this condition, evident around the age of 2 or 3, is usually delayed speech. Mild intellectual disability then becomes apparent, and learning occurs at a slowed pace. Intellectual disability progressively worsens in adolescence. Most people with this disorder lose much of the speech they have learned, and affected adults usually have only a few words in their vocabulary. Adults with aspartylglucosaminuria may develop seizures or problems with movement.  People with this condition may also have bones that become progressively weak and prone to fracture (osteoporosis), an unusually large range of joint movement (hypermobility), and loose skin. Affected individuals tend to have a characteristic facial appearance that includes widely spaced eyes (ocular hypertelorism), small ears, and full lips. The nose is short and broad and the face is usually square-shaped. Children with this condition may be tall for their age, but lack of a growth spurt in puberty typically causes adults to be short. Affected children also tend to have frequent upper respiratory infections. Individuals with aspartylglucosaminuria usually survive into mid-adulthood.",What is (are) aspartylglucosaminuria ?,What is (are) aspartylglucosaminuria ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Aspartylglucosaminuria is a rare genetic disorder that affects the metabolism of aspartylglucosamine, leading to intellectual disability, skeletal abnormalities, and other symptoms.","Aspartylglucosaminuria is a rare genetic disorder that affects the breakdown and use of a particular protein building block (amino acid) called aspartylglucosamine. It is characterized by intellectual disability, skeletal abnormalities, and other physical and developmental issues.",True,True,"Aspartylglucosaminuria is a rare genetic disorder that affects the metabolism of aspartylglucosamine, leading to a buildup of this substance in the body.","Aspartylglucosaminuria is a rare genetic disorder that affects the metabolism of aspartylglucosamine, leading to intellectual disability, skeletal abnormalities, and other symptoms.",True,True,Aspartylglucosaminuria is a rare genetic disorder that affects the breakdown and use of a particular protein called aspartylglucosamine.,"Aspartylglucosaminuria is a rare genetic disorder that affects the metabolism of glycoproteins. It is characterized by intellectual disability, skeletal abnormalities, and other physical features."
symptoms,What are the symptoms of Radio-ulnar synostosis type 2 ?,"What are the signs and symptoms of Radio-ulnar synostosis type 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Radio-ulnar synostosis type 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Dislocated radial head - Limited elbow extension - Radioulnar synostosis - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",What are the symptoms of Radio-ulnar synostosis type 2 ?,What are the symptoms of Radio-ulnar synostosis type 2 ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Limited range of motion in the forearm, wrist, and hand","The symptoms of Radio-ulnar synostosis type 2 include limited movement of the forearm, stiffness in the elbow joint, and possible deformities in the wrist and hand.",True,True,"Limited range of motion in the forearm, wrist, and hand","Limited range of motion in the forearm, wrist, and hand",True,True,Limited range of motion in the forearm,"The symptoms of Radio-ulnar synostosis type 2 include limited range of motion in the affected arm, pain, and deformity of the forearm."
information,What is (are) VLCAD deficiency ?,"VLCAD deficiency is a condition in which the body is unable to properly breakdown certain fats (called very long-chain fatty acids) into energy, particularly during periods without food (fasting). Signs and symptoms can occur during infancy, childhood or adulthood depending on the form of the condition and may include low blood sugar (hypoglycemia), lack of energy, and muscle weakness. Children affected by the most severe forms of the condition are also at risk of serious complications such as liver abnormalities and life-threatening heart problems. VLCAD deficiency is caused by changes (mutations) in the ACADVL gene and is inherited in an autosomal recessive manner. Treatment is based on the signs and symptoms present in each person.",What is (are) VLCAD deficiency ?,What is (are) VLCAD deficiency ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"VLCAD deficiency is a rare genetic disorder that affects the body's ability to convert certain fats into energy, leading to symptoms such as low blood sugar, muscle weakness, and heart problems.","VLCAD deficiency is a rare genetic disorder that prevents the body from converting certain fats into energy, leading to a variety of symptoms including low blood sugar, muscle weakness, and heart problems.",True,True,VLCAD deficiency is a rare genetic disorder that affects the body's ability to convert certain fats into energy.,"VLCAD deficiency is a genetic disorder that affects the body's ability to convert certain fats to energy, leading to symptoms such as low blood sugar, muscle weakness, and heart problems.",True,True,"VLCAD deficiency is a rare genetic disorder that affects the body's ability to convert certain fats into energy, leading to symptoms such as low blood sugar, muscle weakness, and heart problems.","VLCAD deficiency is a genetic disorder that affects the body's ability to convert certain fats into energy, leading to symptoms such as low blood sugar, muscle weakness, and heart problems."
information,What is (are) Bile Duct Cancer ?,"Your liver makes a digestive juice called bile. Your gallbladder stores it between meals. When you eat, your gallbladder pushes the bile into tubes called bile ducts. They carry the bile to your small intestine. The bile helps break down fat. It also helps the liver get rid of toxins and wastes.    Bile duct cancer is rare. It can happen in the parts of the bile ducts that are outside or inside the liver. Cancer of the bile duct outside of the liver is much more common. Risk factors include having inflammation of the bile duct, ulcerative colitis, and some liver diseases.    Symptoms can include       - Jaundice    - Itchy skin    - Fever    - Abdominal pain       Tests to diagnose bile duct cancer may include a physical exam, imaging tests of the liver and bile ducts, blood tests, and a biopsy.    Treatments include surgery, radiation therapy, and chemotherapy.    NIH: National Cancer Institute",What is (are) Bile Duct Cancer ?,What is (are) Bile Duct Cancer ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Bile duct cancer, also known as cholangiocarcinoma, is a type of cancer that forms in the bile ducts, which are thin tubes that connect the liver to the small intestine. It can cause blockages in the bile ducts and lead to symptoms such as jaundice, abdominal pain, and weight loss.","Bile duct cancer, also known as cholangiocarcinoma, is a type of cancer that forms in the bile ducts, which are thin tubes that carry bile from the liver to the small intestine. It can occur in different parts of the bile ducts and can be classified based on its location within the ducts.",True,True,"Bile duct cancer, also known as cholangiocarcinoma, is a type of cancer that forms in the bile ducts, which are thin tubes that carry bile from the liver to the small intestine.","Bile duct cancer, also known as cholangiocarcinoma, is a type of cancer that forms in the bile ducts, which are tubes that connect the liver and gallbladder to the small intestine.",True,True,"Bile duct cancer, also known as cholangiocarcinoma, is a type of cancer that forms in the bile ducts, which are thin tubes that connect the liver to the small intestine. It can cause blockages in the bile ducts and lead to symptoms such as jaundice, abdominal pain, and weight loss.","Bile duct cancer, also known as cholangiocarcinoma, is a type of cancer that forms in the bile ducts, which are thin tubes that carry bile from the liver to the small intestine."
research,what research (or clinical trials) is being done for Uterine Sarcoma ?,"New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.",what research (or clinical trials) is being done for Uterine Sarcoma ?,what research (or clinical trials) is being done for Uterine Sarcoma ?,8,"Exploratory(Divergent Thinking): Queries that are inherently about seeking new areas of knowledge, understanding emerging trends, or identifying unknown opportunities without a specific end goal of making a decision or judgment. Exploratory queries are characterized by their openness and the lack of a predefined objective, differentiating them from evaluative queries which are directed towards forming a judgment or assessment. Exploratory queries encourage branching out into various directions to explore a wide array of possibilities without necessarily aiming to converge on a single answer or outcome.",True,True,"Research and clinical trials for Uterine Sarcoma are focused on developing new treatment options, improving early detection methods, and understanding the underlying causes of the disease.","Various research studies and clinical trials are being conducted for Uterine Sarcoma, focusing on areas such as targeted therapies, immunotherapy, and personalized medicine.",False,False,"Research and clinical trials for Uterine Sarcoma are focused on developing targeted therapies, immunotherapies, and combination treatments to improve outcomes for patients.","Research and clinical trials for Uterine Sarcoma are focused on developing targeted therapies, immunotherapies, and combination treatments to improve outcomes for patients.",True,True,"Research and clinical trials for Uterine Sarcoma are focused on developing targeted therapies, immunotherapies, and combination treatments to improve outcomes for patients.","Various research studies and clinical trials are being conducted for Uterine Sarcoma, focusing on new treatment approaches, targeted therapies, immunotherapy, and personalized medicine."
treatment,What are the treatments for intrahepatic cholestasis of pregnancy ?,These resources address the diagnosis or management of intrahepatic cholestasis of pregnancy:  - Gene Review: Gene Review: ATP8B1 Deficiency  - Genetic Testing Registry: Cholestasis of pregnancy   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,What are the treatments for intrahepatic cholestasis of pregnancy ?,What are the treatments for intrahepatic cholestasis of pregnancy ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,Ursodeoxycholic acid (UDCA) and antihistamines are commonly used to treat intrahejsonpatjsonic cholestasis of pregnancy.,"The treatments for intrahepatic cholestasis of pregnancy include Ursodeoxycholic acid (UDCA), antihistamines, vitamin K supplements, and monitoring of the baby's well-being.",True,True,Ursodeoxycholic acid (UDCA) and antihistamines are commonly used to treat intrahejsonpathic cholestasis of pregnancy.,"Ursodeoxycholic acid, antihistamines, and vitamin K are commonly used to treat intrahejsonpaticholestasis of pregnancy.",True,True,"Ursodeoxycholic acid, antihistamines, vitamin K supplements, and early delivery in severe cases",Ursodeoxycholic acid (UDCA) is commonly used to treat intrahejsonpaticholestasis of pregnancy.
information,What is (are) Chronic Diarrhea in Children ?,"Diarrhea is loose, watery stools. Chronic, or long lasting, diarrhea typically lasts for more than 4 weeks. Children with chronic diarrhea may have loose, watery stools continually, or diarrhea may come and go. Chronic diarrhea may go away without treatment, or it may be a symptom of a chronic disease or disorder. Treating the disease or disorder can relieve chronic diarrhea.
                
Chronic diarrhea can affect children of any age:
                
- infantsages 0 to 12 months  - toddlersages 1 to 3 years  - preschool-age childrenages 3 to 5 years  - grade school-age childrenages 5 to 12 years  - adolescentsages 12 to 18 years
                
Diarrhea that lasts only a short time is called acute diarrhea. Acute diarrhea, a common problem, usually lasts a few days and goes away on its own. More information about acute diarrhea is provided in the NIDDK health topics:
                
- Diarrhea  - What I need to know about Diarrhea",What is (are) Chronic Diarrhea in Children ?,What is (are) Chronic Diarrhea in Children ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Chronic diarrhea in children refers to persistent diarrhea that lasts for more than 14 days. It can be caused by various factors such as infections, food intolerances, or underlying medical conditions.","Chronic diarrhea in children refers to persistent diarrhea that lasts for more than two weeks. It can be caused by various factors such as infections, food allergies, inflammatory bowel disease, or malabsorption disorders.",False,True,"Chronic diarrhea in children refers to persistent diarrhea that lasts for more than 14 days and can be caused by various factors such as infections, food allergies, inflammatory bowel disease, or malabsorption disorders.",Chronic diarrhea in children refers to persistent diarrhea that lasts for more than two weeks.,True,True,"Chronic diarrhea in children refers to persistent diarrhea lasting for more than 14 days, which can be caused by various factors such as infections, food intolerances, or underlying medical conditions.","Chronic diarrhea in children refers to persistent diarrhea that lasts for more than two weeks. It can be caused by various factors such as infections, food intolerances, inflammatory bowel disease, or malabsorption disorders."
symptoms,What are the symptoms of Rh Incompatibility ?,"Rh incompatibility doesn't cause signs or symptoms in a pregnant woman. In a baby, the condition can lead to hemolytic anemia. Hemolytic anemia is a condition in which red blood cells are destroyed faster than the body can replace them.
                
Red blood cells contain hemoglobin (HEE-muh-glow-bin), an iron-rich protein that carries oxygen to the body. Without enough red blood cells and hemoglobin, the baby won't get enough oxygen.
                
Hemolytic anemia can cause mild to severe signs and symptoms in a newborn, such as jaundice and a buildup of fluid.
                
Jaundice is a yellowish color of the skin and whites of the eyes. When red blood cells die, they release hemoglobin into the blood. The hemoglobin is broken down into a compound called bilirubin. This compound gives the skin and eyes a yellowish color. High levels of bilirubin can lead to brain damage in the baby.
                
The buildup of fluid is a result of heart failure. Without enough hemoglobin-carrying red blood cells, the baby's heart has to work harder to move oxygen-rich blood through the body. This stress can lead to heart failure.
                
Heart failure can cause fluid to build up in many parts of the body. When this occurs in a fetus or newborn, the condition is called hydrops fetalis (HI-drops fe-TAL-is).
                
Severe hemolytic anemia can be fatal to a newborn at the time of birth or shortly after.",What are the symptoms of Rh Incompatibility ?,What are the symptoms of Rh Incompatibility ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Symptoms of Rh incompatibility include jaundice, anemia, enlarged liver or spleen, and swelling.","Symptoms of Rh incompatibility include jaundice, anemia, enlarged liver or spleen, and swelling or edema.",True,True,"Symptoms of Rh incompatibility include jaundice, anemia, enlarged liver or spleen, and swelling of the body.","Symptoms of Rh incompatibility include jaundice, anemia, enlarged liver or spleen, and swelling of the body.",True,True,"Symptoms of Rh incompatibility include jaundice, anemia, enlarged liver or spleen, and swelling of the body.","Symptoms of Rh incompatibility include jaundice, anemia, enlarged liver or spleen, and swelling of the body."
information,What is (are) Traumatic Brain Injury ?,"Traumatic brain injury (TBI), a form ofacquired brain injury, occurs when a sudden trauma causes damage to the brain. TBI can result when the head suddenly and violently hits an object, or when an object pierces the skull and enters brain tissue.Symptoms of a TBI can be mild, moderate, or severe, depending on the extent of the damage to the brain. A person with a mild TBI may remain conscious or may experience a loss of consciousness for a few seconds or minutes. Other symptoms of mild TBI include headache, confusion, lightheadedness, dizziness, blurred vision or tired eyes, ringing in the ears, bad taste in the mouth, fatigue or lethargy, a change in sleep patterns, behavioral or mood changes, and trouble with memory, concentration, attention, or thinking. A person with a moderate or severe TBI may show these same symptoms, but may also have a headache that gets worse or does not go away, repeated vomiting or nausea, convulsions or seizures, an inability to awaken from sleep, dilation of one or both pupils of the eyes, slurred speech, weakness or numbness in the extremities, loss of coordination, and increased confusion, restlessness, or agitation.",What is (are) Traumatic Brain Injury ?,What is (are) Traumatic Brain Injury ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Traumatic Brain Injury (TBI) is a type of brain injury caused by a sudden trauma to the head. It can result in a range of symptoms and severity, depending on the extent of the injury.","Traumatic Brain Injury (TBI) is a type of brain injury caused by a sudden trauma to the head. It can result in various symptoms ranging from mild to severe, depending on the extent of the injury.",True,True,"Traumatic Brain Injury (TBI) is a type of brain injury caused by a sudden trauma to the head. It can result in a range of symptoms and severity, depending on the extent of the injury.","Traumatic Brain Injury (TBI) is a type of brain injury caused by a sudden trauma to the head. It can result in a range of symptoms, from mild concussions to severe brain damage.",True,True,"Traumatic Brain Injury (TBI) is a type of brain injury caused by a sudden trauma to the head. It can result in a range of symptoms and severity, depending on the extent of the injury.","Traumatic Brain Injury (TBI) is a type of brain injury caused by a sudden trauma to the head. It can result in a range of physical, cognitive, and emotional symptoms depending on the severity of the injury."
frequency,How many people are affected by Lujan syndrome ?,"Lujan syndrome appears to be an uncommon condition, but its prevalence is unknown.",How many people are affected by Lujan syndrome ?,How many people are affected by Lujan syndrome ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,Lujan syndrome affects a very small number of individuals worldwide.,"Lujan syndrome affects a very small number of individuals worldwide, with only a few documented cases.",True,True,Lujan syndrome affects a very small number of individuals worldwide.,"Lujan syndrome is a rare genetic disorder, and the exact number of people affected by it is not well documented.",True,True,Lujan syndrome affects a very small number of individuals worldwide.,"Lujan syndrome is an extremely rare condition, with only a few cases reported worldwide."
treatment,What are the treatments for Opsoclonus Myoclonus ?,"Treatment for opsoclonus myoclonus may include corticosteroids or ACTH (adrenocorticotropic hormone). In cases where there is a tumor present, treatment such as chemotherapy, surgery, or radiation may be required.",What are the treatments for Opsoclonus Myoclonus ?,What are the treatments for Opsoclonus Myoclonus ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Treatment for Opsoclonus Myoclonus includes corticosteroids, intravenous immunoglobulin, rituximab, and sometimes chemotherapy.","Treatment for Opsoclonus Myoclonus includes corticosteroids, intravenous immunoglobulin (IVIG), rituximab, and sometimes chemotherapy.",True,True,"Treatment for Opsoclonus Myoclonus includes corticosteroids, intravenous immunoglobulin (IVIG), rituximab, and sometimes chemotherapy.","Corticosteroids, Intravenous immunoglobulin (IVIG), Rituximab, Chemotherapy",True,True,"Treatment for Opsoclonus Myoclonus includes corticosteroids, intravenous immunoglobulin (IVIG), rituximab, and sometimes chemotherapy.","The treatments for Opsoclonus Myoclonus include corticosteroids, intravenous immunoglobulin (IVIG), rituximab, and chemotherapy."
susceptibility,Who is at risk for Mitral Valve Prolapse? ?,"Mitral valve prolapse (MVP) affects people of all ages and both sexes; however, aging raises the risk of developing the disease.
                
Certain conditions have been associated with MVP, including:
                
A history of rheumatic fever
                
Connective tissue disorders, such as Marfan syndrome or Ehlers-Danlos syndrome
                
Graves disease
                
Scoliosis and other skeletal problems
                
Some types of muscular dystrophy",Who is at risk for Mitral Valve Prolapse? ?,Who is at risk for Mitral Valve Prolapse? ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Mitral Valve Prolapse can occur in people of all ages, but it is more common in women and individuals with a family history of the condition.","Mitral Valve Prolapse can occur in anyone, but it is more common in women, people with a family history of the condition, and those with certain connective tissue disorders.",True,True,"Mitral Valve Prolapse can affect people of all ages, but it is more common in women and individuals with a family history of the condition.","Mitral Valve Prolapse is more common in women, people with a family history of the condition, and those with certain connective tissue disorders.",True,True,"Mitral Valve Prolapse can affect anyone, but it is more common in women and individuals with a family history of the condition.","Mitral Valve Prolapse can affect anyone, but it is more common in women and individuals with a family history of the condition."
considerations,What to do for Medicare and Continuing Care ?,"Nursing home care can be very expensive. Medicare generally doesn't cover nursing home care. There are many ways people can pay for nursing home care. For example, they can use their own money, they may be able to get help from their state, or they may use long-term care insurance. Nursing home care isn't covered by many types of health insurance. Most people who enter nursing homes begin by paying for their care out of their own pocket. As they use up their resources over a period of time, they may eventually become eligible for Medicaid. Medicaid is a state and Federal program that will pay most nursing home costs for people with limited income and resources. Eligibility varies by state. Medicaid pays for care for about 7 out of every 10 nursing home residents. Medicaid will pay for nursing home care only when provided in a Medicaid-certified facility. For information about Medicaid eligibility, call your state Medical Assistance (Medicaid) Office. If you have questions about Medicaid, you can call your State Medical Assistance (Medicaid) office for more information. Visit http://www.medicare.gov on the web. (Under ""Search Tools,"" select ""Find Helpful Phone Numbers and Websites."") Or, call 1-800-Medicare (1-800-633-4227) to get the telephone number. TTY users should call 1-877-486-2048.",What to do for Medicare and Continuing Care ?,What to do for Medicare and Continuing Care ?,8,"Instructional: Queries specifically seeking step-by-step guidance, instructions, or procedures to perform a task. it focuses on 'how' to do something rather than 'what', 'why', or 'which'.",True,True,"For Medicare and Continuing Care, you can consider options such as enrolling in Medicare Advantage plans, exploring long-term care insurance, and researching different types of continuing care retirement communities.","For Medicare and Continuing Care, you can start by researching the eligibility criteria for both programs. Next, gather all necessary documentation such as identification, financial records, and medical history. Then, contact the respective offices or agencies to begin the application process. It is important to follow all instructions carefully and provide accurate information to ensure a smooth application process.",False,False,"For Medicare and Continuing Care, you can explore options such as Medicare Advantage plans, long-term care insurance, and continuing care retirement communities.","For Medicare and Continuing Care, individuals can explore options such as Medicare Advantage plans, Medigap policies, and long-term care insurance to ensure comprehensive coverage for medical expenses and ongoing care needs.",False,False,"For Medicare and Continuing Care, you can explore options such as Medicare Advantage plans, long-term care insurance, and retirement communities with continuing care services.","For Medicare and Continuing Care, you should first consult with a healthcare provider to understand the available options and eligibility criteria. Then, gather all necessary documentation and information required for the application process. Complete the application forms accurately and submit them within the specified deadlines. Follow up with the relevant authorities or agencies to track the progress of your application and ensure timely approval. Once approved, review the coverage details and guidelines to make the most of your Medicare and Continuing Care benefits."
causes,What causes GM1 gangliosidosis ?,"What causes GM1 gangliosidosis? All three types of GM1 gangliosidosis are caused by mutations (changes) in the GLB1 gene. This gene gives the body instructions to make an enzyme called beta-galactosidase (-galactosidase), which plays an important role in the brain. The enzyme resides in compartments within cells called lysosomes, where it helps break down certain molecules, including a substance called GM1 ganglioside. GM1 ganglioside is important for nerve cell function in the brain. Mutations in the GLB1 gene may lower or eliminate the activity of the -galactosidase enzyme, keeping GM1 ganglioside from being broken down. As a result, it accumulates to toxic levels in tissues and organs, particularly in the brain. This accumulation leads to the destruction of nerve cells, causing the features of the condition. In general, people with higher enzyme activity levels usually have milder features than those with lower activity levels.",What causes GM1 gangliosidosis ?,What causes GM1 gangliosidosis ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"GM1 gangliosidosis is caused by a deficiency of the enzyme beta-galactosidase, which leads to the accumulation of GM1 ganglioside in cells.","GM1 gangliosidosis is caused by a deficiency of the enzyme beta-galactosidase, leading to the accumulation of GM1 ganglioside in cells.",True,True,"GM1 gangliosidosis is caused by a deficiency of the enzyme beta-galactosidase, leading to the accumulation of GM1 ganglioside in cells.",GM1 gangliosidosis is caused by a deficiency of the enzyme beta-galactosidase.,True,True,Deficiency of beta-galactosidase enzyme,"GM1 gangliosidosis is caused by a deficiency of the enzyme beta-galactosidase, leading to the accumulation of GM1 ganglioside in cells."
information,What is (are) Wilms Tumor ?,"Wilms tumor is a rare type of kidney cancer. It causes a tumor on one or both kidneys. It usually affects children, but can happen in adults. Having certain genetic conditions or birth defects can increase the risk of getting it. Children that are at risk should be screened for Wilms tumor every three months until they turn eight.    Symptoms include a lump in the abdomen, blood in the urine, and a fever for no reason. Tests that examine the kidney and blood are used to find the tumor.    Doctors usually diagnose and remove the tumor in surgery. Other treatments include chemotherapy and radiation and biologic therapies. Biologic therapy boosts your body's own ability to fight cancer.    NIH: National Cancer Institute",What is (are) Wilms Tumor ?,What is (are) Wilms Tumor ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,Wilms tumor is a type of kidney cancer that primarily affects children.,Wilms tumor is a type of kidney cancer that primarily affects children.,True,True,Wilms tumor is a type of kidney cancer that primarily affects children.,Wilms tumor is a type of kidney cancer that primarily affects children.,True,True,Wilms tumor is a type of kidney cancer that primarily affects children.,Wilms tumor is a type of kidney cancer that primarily affects children. It is also known as nephroblastoma.
symptoms,What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?,"What are the signs and symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus? The Human Phenotype Ontology provides the following list of signs and symptoms for Epiphyseal dysplasia multiple with early-onset diabetes mellitus. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the metaphyses 90% Short stature 90% Type II diabetes mellitus 90% Abnormality of immune system physiology 50% Abnormality of neutrophils 50% Acute hepatic failure 50% Brachydactyly syndrome 50% Chronic hepatic failure 50% Cognitive impairment 50% Delayed skeletal maturation 50% Elevated hepatic transaminases 50% Gait disturbance 50% Genu valgum 50% Hepatomegaly 50% Platyspondyly 50% Short thorax 50% Abnormality of neuronal migration 7.5% Aplasia/Hypoplasia of the pancreas 7.5% Exocrine pancreatic insufficiency 7.5% Hyperlordosis 7.5% Hypoglycemia 7.5% Hypothyroidism 7.5% Intrauterine growth retardation 7.5% Kyphosis 7.5% Microcephaly 7.5% Nephropathy 7.5% Recurrent fractures 7.5% Renal insufficiency 7.5% Seizures 7.5% Autosomal recessive inheritance - Barrel-shaped chest - Carpal bone hypoplasia - Cone-shaped epiphyses of the phalanges of the hand - Coxa valga - Depressed nasal bridge - Epiphyseal dysplasia - Flattened epiphysis - High palate - Hip dislocation - Hip Subluxation - Hypertelorism - Hypertonia - Hypoplasia of the odontoid process - Infantile onset - Insulin-resistant diabetes mellitus - Irregular carpal bones - Irregular tarsal ossification - Irregular vertebral endplates - Ivory epiphyses of the phalanges of the hand - Ivory epiphyses of the toes - Multiple epiphyseal dysplasia - Narrow iliac wings - Osteoporosis - Preauricular pit - Reduced pancreatic beta cells - Shortening of all middle phalanges of the fingers - Small epiphyses - Upslanted palpebral fissure - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?,What are the symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus ?,8,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",True,True,"Symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus include short stature, skeletal abnormalities, joint pain, and early-onset diabetes mellitus.","Symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus include short stature, early-onset diabetes, skeletal abnormalities, joint pain, and vision problems.",True,True,"Symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus include short stature, early-onset diabetes, skeletal abnormalities, and joint pain.","Short stature, early-onset diabetes mellitus, and skeletal abnormalities",True,True,"Symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus include short stature, early-onset diabetes, skeletal abnormalities, joint pain, and vision problems.","The symptoms of Epiphyseal dysplasia multiple with early-onset diabetes mellitus include short stature, early-onset diabetes, skeletal abnormalities, and vision problems."
