annotations,id,question
"[{'type': 'singleAnswer', 'answer': ['Bill Murray']}, {'type': 'singleAnswer', 'answer': ['John Forsythe', 'Michael J. Pollard', 'Karen Allen', 'Carol Kane', 'Alfre Woodard', 'Bobcat Goldthwait', 'Robert Mitchum', 'Bill Murray']}]",687669261928806097,Who starred in the 1988 christmas movie scrooged?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Where does the blastocyst implanted in the female human reproductive system typically?', 'answer': ['endometrial wall', 'endometrium', 'uterine wall']}, {'question': 'Where does the blastocyst implanted in the female human reproductive system when ectopic pregnancy occurs?', 'answer': ['outside the uterus']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Where does the blastocyst implanted in the female human reproductive system in a normal pregnancy?', 'answer': ['wall of the uterus', 'uterus', 'the endometrium of the uterine wall', 'uterine wall']}, {'question': 'Where does the blastocyst implanted in the female human reproductive system in an ectopic pregnancy?', 'answer': ['fallopian tube, cervix, ovaries, or within the abdomen']}]}]",8037315038542488006,Where does the blastocyst implanted in the female human reproductive system?
"[{'type': 'singleAnswer', 'answer': ['Gretchen Mol', 'Mol']}]",-5888712875430135752,Who plays jimmy's mother in boardwalk empire?
"[{'type': 'singleAnswer', 'answer': ['Megan Park']}, {'type': 'singleAnswer', 'answer': ['Megan Park']}]",7933180832992348947,Who plays dr damprey on jane the virgin?
"[{'type': 'singleAnswer', 'answer': ['Dan Castellaneta']}, {'type': 'singleAnswer', 'answer': ['Castellaneta', 'Daniel Louis Castellaneta', 'Dan Castellaneta']}]",-6055400232006639298,Who plays the genie in return of jafar?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When is the sneak preview of Rise of the Teenage Mutant Ninja Turtles coming out?', 'answer': ['July 20, 2018']}, {'question': 'When is season 1 of Rise of the Teenage Mutant Ninja Turtles series debut coming out?', 'answer': ['September 17, 2018']}, {'question': 'When was it announced by Nickelodeon that Rise of the Teenage Mutant Ninja Turtles was coming out?', 'answer': ['March 2, 2017']}, {'question': 'When is season 2 of Rise of the Teenage Mutant Ninja Turtles coming out?', 'answer': ['October 12, 2018']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'When is rise of the teenage mutant ninja turtles sneak preview coming out?', 'answer': ['July 20, 2018']}, {'question': 'When is rise of the teenage mutant ninja turtles debut coming out?', 'answer': ['September 17, 2018']}, {'question': 'When is rise of the teenage mutant ninja turtles season 2 coming out?', 'answer': ['October 12, 2019']}]}]",-5715491724683223701,When is rise of the teenage mutant ninja turtles coming out?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who originally sang still crazy after all these years?', 'answer': ['Paul Simon']}, {'question': 'Who sang still crazy after all these years in 2000?', 'answer': ['Willie Nelson']}, {'question': 'Who sang still crazy after all these years in 1996?', 'answer': ['Karen Carpenter']}, {'question': 'Who sang still crazy after all these years in 1993?', 'answer': ['Ray Charles']}]}]",-7582650876403615860,Who sang still crazy after all these years?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What city are the golden state warriors located in?', 'answer': ['San Francisco']}, {'question': 'What stadium do the Golden State Warriors play at?', 'answer': ['Chase Center']}]}]",5672375992676186901,Where is the golden state warriors located at?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What does the abbreviation gvwr expand to on a truck?', 'answer': ['gross vehicle weight rating']}, {'question': 'What does gvwr mean on a truck?', 'answer': ['maximum operating weight/mass of a vehicle']}]}]",-4039782236548949673,What does gvwr stand for on a truck?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What has the hottest uncontested air temperature been on earth?', 'answer': ['54.0 °C (129.2 °F)', '129.2 °F', '54.0 °C']}, {'question': 'What has the hottest alleged ground temperature been on earth?', 'answer': ['201 °F', '93.9 °C', '93.9 °C (201 °F)']}, {'question': 'What has the hottest recorded satelllite temperature been on earth?', 'answer': ['66.8 °C', '152.2 °F', '66.8 °C (152.2 °F)']}, {'question': 'What has the hottest air temperature been on earth according to the WMO?', 'answer': ['56.7 °C (134.1 °F)', '56.7 °C', '134.1 °F']}]}]",2900239413928677063,What has the hottest temperature been on earth?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who played older Lola in Kinky Boots the movie?', 'answer': ['Chiwetel Ejiofor']}, {'question': 'Who played young lola in Kinky Boots the movie?', 'answer': ['Courtney Philip']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who plays old lola in kinky boots the movie?', 'answer': ['Chiwetel Umeadi Ejiofor', 'Chiwetel Ejiofor']}, {'question': 'Who plays young lola in kinky boots the movie?', 'answer': ['Courtney Philip']}]}]",-3465316806880325333,Who plays lola in kinky boots the movie?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When did the United States government start offering student loans?', 'answer': ['1958']}, {'question': 'When did the federal low-interest student loans program start?', 'answer': ['November 8, 1965']}, {'question': 'When did the Federal Direct Student Loan Program start?', 'answer': ['1992']}]}]",8020759438851523056,When did the federal student loan program start?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What does the large seven-pointed white star on the australian flag stand for?', 'answer': ['six representing the six states of Australia and one representing the territories']}, {'question': 'What do the five white stars on the australian flag further from the staff stand for?', 'answer': ['the Southern Cross']}, {'question': 'What does the 7-pointed star, centred in lower hoist on the australian flag stand for?', 'answer': ['Commonwealth Star']}, {'question': 'What does the 7-pointed star, straight below centre fly \u200b1⁄6 up from bottom edge on the australian flag stand for?', 'answer': ['Alpha Crucis']}, {'question': 'What does the 7-pointed star, \u200b1⁄4 of the way left and \u200b1⁄16 up from the centre fly on the australian flag stand for?', 'answer': ['Beta Crucis']}, {'question': 'What does the 7-pointed star, straight above centre fly \u200b1⁄6 down from top edge on the australian flag stand for?', 'answer': ['Gamma Crucis']}, {'question': 'What does the 7-pointed star, \u200b2⁄9 of the way right and \u200b31⁄240 up from the centre fly on the australian flag stand for?', 'answer': ['Delta Crucis']}, {'question': 'What does the 5-pointed star, \u200b1⁄10 of the way right and \u200b1⁄24 down from the centre fly on the australian flag stand for?', 'answer': ['Epsilon Crucis']}]}]",-426004910266087839,What do the five stars on the australian flag stand for?
"[{'type': 'singleAnswer', 'answer': ['Superman: Escape from Krypton']}, {'type': 'singleAnswer', 'answer': ['Superman: Escape from Krypton']}]",-1846968268993481511,What is the fastest roller coaster in california?
"[{'type': 'singleAnswer', 'answer': ['10']}, {'type': 'singleAnswer', 'answer': ['10']}, {'type': 'singleAnswer', 'answer': ['10']}]",7250684143362492316,How many episodes in season 1 of handmades tale?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""Who plays the role of skin changer in Peter Jackson's hobbit?"", 'answer': ['Mikael Persbrandt']}, {'question': 'Who plays the voice of the skin changer in the hobbit 2003 video game?', 'answer': ['Michael Gough']}]}]",-8749546022725061810,Who plays the skin changer in the hobbit?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'In general, why did the roman catholic and eastern orthodox split?', 'answer': ['theological and political differences', 'ecclesiastical differences and theological disputes']}, {'question': 'What are specific doctrinal reasons for why the roman catholic and eastern orthodox split?', 'answer': [""the procession of the Holy Spirit, whether leavened or unleavened bread should be used in the Eucharist, the Bishop of Rome's claim to universal jurisdiction, and the place of the See of Constantinople in relation to the Pentarchy""]}]}]",-285728796551513770,Why did the roman catholic and eastern orthodox split?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When was the hardcover version of the first Percy Jackson book originally published in English?', 'answer': ['July 1, 2005']}, {'question': 'When was the paperback version of the first Percy Jackson book originally published in English?', 'answer': ['April 1, 2006']}]}]",-8084976400945839636,When was the first percy jackson book published?
"[{'type': 'singleAnswer', 'answer': ['Hawaii']}, {'type': 'singleAnswer', 'answer': ['Hawaii']}, {'type': 'singleAnswer', 'answer': ['Hawaiʻi', 'The state of Hawaiʻi', 'Hawaiian archipelago', 'Hawaii']}]",-4720743125318207992,What was the 50th state in the united states?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""Who is number 10 for England men's national football team?"", 'answer': ['Harry Winks']}, {'question': ""Who is number 10 for England women's national football team?|Who is number 10 for the England women's national football team?"", 'answer': ['Lucy Staniforth']}, {'question': 'Who is number 10 for the England national team for the 2016 European Championships?', 'answer': ['Wayne Rooney']}, {'question': 'Who is number 10 for the England national team for the 2014 World Cup?', 'answer': ['Wayne Rooney']}, {'question': 'Who is number 10 for the England national team for the 2012 European Championship?', 'answer': ['Wayne Rooney']}]}]",4882717743056960348,Who is number 10 for england football team?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who figured out a way to determine the ABO type of blood?', 'answer': ['Karl Landsteiner', 'Landsteiner']}, {'question': 'Who figured out a way to determine the rhesus factor type of blood?', 'answer': ['Karl Landsteiner', 'Karl Landsteiner and Alexander S. Wiener', 'Alexander S. Wiener']}]}]",-2777825999784077693,Who figured out a way to determine the type of blood?
"[{'type': 'singleAnswer', 'answer': ['Hynes', 'Louis Hynes', 'Louis Oliver Hynes']}, {'type': 'singleAnswer', 'answer': ['Louis Hynes']}]",5535139462230804500,Who plays klaus in a series of unfortunate events netflix?
"[{'type': 'singleAnswer', 'answer': ['49']}, {'type': 'singleAnswer', 'answer': ['49']}]",-7634638252335162798,How many states are in the continental united states?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'In what city is the headquarters for the organization that maintains si standards?', 'answer': ['Saint-Cloud, France', 'Saint-Cloud']}, {'question': 'In what building is the headquarters for the organization that maintains si standards?', 'answer': ['Pavillon de Breteuil']}]}]",-5162350676865226368,Where is the headquarters for the organization that maintains si standards?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who was the first naturalised citizen to receive the Bharat Ratna?', 'answer': ['Mother Teresa']}, {'question': 'Who was the first non-citizen to receive the Bharat Ratna?', 'answer': ['Khan Abdul Ghaffar Khan']}]}]",1396774387387020988,The first foreigner to receive bharat ratna was?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who sang the 1987 song the look of love?', 'answer': ['Madonna']}, {'question': 'Which band originated the 1982 song the look of love?', 'answer': ['ABC']}, {'question': 'Who sang lead in the 1982 song the look of love?', 'answer': ['Martin Fry']}, {'question': 'Who sang the 1967 song the look of love?', 'answer': ['Dusty Springfield']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who sang the 1967 song The Look of Love?', 'answer': ['Dusty Springfield']}, {'question': 'Who sang the 1982 song The Look of Love?', 'answer': ['ABC']}, {'question': 'Who sang the dance version of The Look of Love in 1996?', 'answer': ['Eclipse']}, {'question': 'Who sang the 1987 version of The Look of Love?', 'answer': ['Madonna']}]}]",7308933918215095839,Who sang the song the look of love?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the literal meaning of the latin word camera obscura?', 'answer': ['dark chamber']}, {'question': 'What is the common photograpy meaning of the latin word camera obscura?', 'answer': ['pinhole image']}]}]",-3346585405026933671,What is the meaning of the latin word camera obscura?
"[{'type': 'singleAnswer', 'answer': ['Bonnerjee', 'Umesh Chandra Banerjee', 'Womesh Chunder Bonnerjee']}, {'type': 'singleAnswer', 'answer': ['Umesh Chandra Banerjee']}]",1013412399740253548,Who presided over the first conference of the india national congress?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When is the last time the rangers won the stanley cup in 1994?', 'answer': ['June 14,1994']}, {'question': 'When is the last time the rangers won the stanley cup in 1940?', 'answer': ['April 13, 1940']}, {'question': 'When is the last time the rangers won the stanley cup in 1933?', 'answer': ['April 13,1933']}]}]",-9218899977338994404,When is the last time the rangers won the stanley cup?
"[{'type': 'singleAnswer', 'answer': ['in the thigh', 'proximal bone of the hindlimb', 'thigh', 'thigh bone']}, {'type': 'singleAnswer', 'answer': ['thigh']}]",4105062653900974014,Where is the strongest bone in the body located?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'How old do you have to be to get a tattoo in Washington state?', 'answer': ['18']}, {'question': 'How old do you have to be to get a tattoo in Washington D.C.?', 'answer': ['18']}]}]",4944157474974886918,How old do you have to be to get a tattoo in washington?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who is the principal researcher who conducted the little albert study on conditioned fear?', 'answer': ['John B. Watson', 'Watson']}, {'question': 'Who is the graduate student researcher who conducted the little albert study on conditioned fear?', 'answer': ['Rosalie Rayner', 'Rayner']}]}]",3152896460331899719,Who conducted the little albert study on conditioned fear?
"[{'type': 'singleAnswer', 'answer': ['Greece']}, {'type': 'singleAnswer', 'answer': ['Greece']}]",-3158659545950867830,Which participating state held the osce chairmanship 2009?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who sings lead vocals for the song hot in herre in 2002?', 'answer': ['Nelly', 'Cornell Iral Haynes Jr.']}, {'question': 'Who sings additional vocals for the song hot in herre in 2002?', 'answer': ['Stevenson', 'Dani Stevenson']}, {'question': 'Who sings lead vocals for the song hot in herre in released in 2003?', 'answer': ['Jason F. Sellards', 'Shears', 'Jake Shears']}, {'question': 'Who sings the song hot in herre in 2004?', 'answer': ['Widespread Panic']}, {'question': 'Who sings the song hot in herre on the television show Hit Me, Baby, One More Time?', 'answer': ['Wang Chung']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who sang the 2002 song Hot in Here?', 'answer': ['Nelly']}, {'question': 'Who sang Hot in Here in 2003?', 'answer': ['Beelzebubs']}, {'question': 'Who sang a live version of Hot in Here in 2004?', 'answer': ['Widespread Panic']}, {'question': 'Who sang an a cappella version of Hot in Here in 2013?', 'answer': ['Ten']}]}]",3441937135807868086,Who sings the song it's getting hot in here?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who wrote the song ""These Boots Are Made for Walkin\'""?', 'answer': ['Lee Hazlewood']}, {'question': 'Who sang the original song ""These Boots Are Made for Walkin\'""?', 'answer': ['Nancy Sinatra']}, {'question': 'Who produced the original song ""These Boots Are Made for Walkin\'""?', 'answer': ['Lee Hazlewood']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who first recorded the song ""These Boots Are Made For Walking""?', 'answer': ['Nancy Sinatra']}, {'question': 'Who wrote the song ""These Boots Are Made For Walking""?', 'answer': ['Lee Hazlewood']}, {'question': 'Who first produced the song ""These Boots Are Made For Walking""?', 'answer': ['Lee Hazlewood']}]}]",119349441803496022,Who made the song these boots are made for walking?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the city and state where Raymond lives in Everybody Loves Raymond?', 'answer': ['Lynbrook, Long Island']}, {'question': 'Where does Raymond live in Everybody Loves Raymond, in relation to other people?', 'answer': ['across the street from his parents']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'In what region does Raymond live in Everybody Loves Raymond?', 'answer': ['Long Island']}, {'question': 'In what city does Raymond live in Everybody Loves Raymond?', 'answer': ['Lynbrook, NY']}, {'question': 'Where does Raymond live in Everybody Loves Raymond, in terms of other people?', 'answer': ['across the street from his parents']}]}]",-7552544848676354758,Where does raymond live in everybody loves raymond?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who sang the song See you Again with the lyrics ""when i see you again?""?', 'answer': ['Charlie Puth']}, {'question': 'Who rapped the song See you Again with the lyrics ""when i see you again?""?', 'answer': ['Wiz Khalifa']}, {'question': 'What record label made the song See you Again with the lyrics ""when i see you again?""?', 'answer': ['Atlantic']}, {'question': 'Who wrote the song See you Again with the lyrics ""when i see you again?""?', 'answer': ['Charlie Puth, Cameron Thomaz, Andrew Cedar, Justin Franks, Dann Hume, Josh Hardy, and Phoebe Cockburn']}, {'question': 'Who produced the song See you Again with the lyrics ""when i see you again?""?', 'answer': ['DJ Frank E, Charlie Puth, and Andrew Cedar']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Who made the song ""See You Again""(2015)?', 'answer': ['Wiz Khalifa', 'Wiz Khalifa featuring Charlie Puth']}, {'question': 'Who made the song ""See You Again""(2007)?', 'answer': ['Miley Cyrus']}, {'question': 'Who made the country song ""See You Again""(2013)?', 'answer': ['Carrie Underwood']}, {'question': 'Who made the metal song ""See You Again""(2013)?', 'answer': ['I Am I']}, {'question': 'Who made the song ""See You Again"" from Love Stuff?', 'answer': ['Elle King']}, {'question': 'Who made the song ""See You Again"" from Heal?', 'answer': ['Loreen']}, {'question': 'Who made the song ""See You Again"" from Flower Boy?', 'answer': ['Tyler, The Creator']}]}]",-3254745754392014990,Who made the song when i see you again?
"[{'type': 'singleAnswer', 'answer': ['Susan Tedeschi']}, {'type': 'singleAnswer', 'answer': ['Susan Tedeschi']}, {'type': 'singleAnswer', 'answer': ['Susan Tedeschi']}]",-29876963762392843,Who sings with eric church mixed drinks about feelings?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Which members of the Union did the Virginia Plan give more power to?', 'answer': ['larger states', 'Large States']}, {'question': 'Which branch did the Virginia Plan give more power to?', 'answer': ['legislative branch']}]}]",-2427005357321258325,Who did the virginia plan give more power to?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""Who was in the 1998 music video don't worry, be happy?"", 'answer': ['Bobby McFerrin, Robin Williams, and Bill Irwin', 'Robin Williams', 'Bobby McFerrin', 'Bill Irwin']}, {'question': ""Who was in the 2011 music video don't worry, be happy?"", 'answer': ['Guy Sebastian, ill young girl, and her father']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': ""Who was in the video don't worry be happy by Guy Sebastian?"", 'answer': ['Guy Sebastian', 'her father', 'young girl']}, {'question': ""Who was in the video don't worry be happy by Bobby McFerrin?"", 'answer': ['Robin Williams', 'Bobby McFerrin', 'Bill Irwin']}]}]",-169124477138800528,Who was in the video don't worry be happy?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the Hebrew origin name of the name benjamin?', 'answer': ['Hebrew בִּנְיָמִין, Binyāmīn', 'Binyāmīn']}, {'question': 'What is the language origin of the name benjamin?', 'answer': ['Hebrew', 'derived from Hebrew']}, {'question': 'What is the Samaritan Pentateuch origin name for the name benjamin?', 'answer': ['Binyaamem']}]}]",-604099956838475859,What is the origin of the name benjamin?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""Who did Meg's voice on the original pilot of Family Guy?"", 'answer': ['Rachael MacFarlane']}, {'question': ""Who did Meg's voice on the first season of Family Guy?"", 'answer': ['Lacey Chabert']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': ""Who did Meg's voice first on family guy, for the pilot?"", 'answer': ['Rachael MacFarlane']}, {'question': ""Who did Meg's voice first on family guy, in regular episodes of the first season?"", 'answer': ['Lacey Chabert']}]}]",-1474157532052413569,Who did meg's voice first on family guy?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the genre of the film Holes written by Louis Sachar?', 'answer': ['adventure comedy-drama']}, {'question': 'What is the genre of the book Holes written by Louis Sachar?', 'answer': ['Adventure', 'Young Adult']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the genre of the book Holes by Louis Sachar (if one chooses to describe it as full of danger and excitement)?', 'answer': ['Adventure']}, {'question': 'What is the genre of the book Holes by Louis Sachar (if one describes it in terms of who the target audience is)?', 'answer': ['young adult fiction', 'young adult', 'YA']}]}]",-6285744733863261087,What is the genre of holes by louis sachar?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Which character gets mandy pregnant in season 2 of the British show shameless?', 'answer': ['Phillip ""Lip"" Gallagher', 'Lip Gallagher', 'Lip']}, {'question': 'Which actor gets mandy pregnant in season 2 of the British show shameless?', 'answer': ['Jody Latham', 'Jody Lee Latham']}, {'question': 'Which character gets mandy pregnant in season 2 of the American show shameless?', 'answer': ['Terry Milkovich']}, {'question': 'Which actor gets mandy pregnant in season 2 of the American show shameless?', 'answer': ['Dennis Cockrum']}]}]",-3492518758992084885,Who gets mandy pregnant in season 2 of shameless?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What are the general lines parallel to the equator called?', 'answer': ['Latitude', 'parallels']}, {'question': 'What are the four major lines parallel to the equator called?', 'answer': ['Arctic Circle', 'Antarctic Circle', 'Arctic Circle, Tropic of Cancer, Tropic of Capricorn, and Antarctic Circle', 'Tropic of Capricorn', 'Tropic of Cancer']}]}]",4080170451722267299,What are the lines parallel to the equator called?
"[{'type': 'singleAnswer', 'answer': ['1986 FIFA World Cup', '1986', '13th FIFA World Cup']}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Which world cup was the last time mexico made it to the quarter finals in the world cup?', 'answer': ['1986 FIFA World Cup', '1986', '13th FIFA World Cup']}, {'question': 'What date was the last time mexico made it to the quarter finals in the world cup?', 'answer': ['21 June 1986']}]}]",8520790328285265395,When was the last time mexico made it to the quarter finals in the world cup?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""How many constructed culver's are there in the united states as of June 24, 2019?"", 'answer': ['710']}, {'question': ""How many  culver's are there under construction in the united states as of June 24, 2019?"", 'answer': ['18']}, {'question': ""How many culver's are there in the united states as of January 23, 2020?"", 'answer': ['740']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': ""How many culver's are there in the united states in 1993?"", 'answer': ['14']}, {'question': ""How many culver's are there in the united states in 2011?"", 'answer': ['445']}, {'question': ""How many culver's are there in the united states in 1984?"", 'answer': ['1']}]}]",-34823966255409475,How many culver's are there in the united states?
"[{'type': 'singleAnswer', 'answer': ['May 31 , 2018', 'May 31, 2018']}]",5217807914216270102,When was the not too young to run bill signed into law?
"[{'type': 'singleAnswer', 'answer': ['Charles Frederick Worth']}, {'type': 'singleAnswer', 'answer': ['Charles Frederick Worth']}]",-9216925078193896149,The person who is considered to be the founder of the paris haute couture was?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'How do you pronounce the capital of burkina faso in English?', 'answer': ['/ˌwɑːɡəˈduːɡuː/']}, {'question': 'How do you pronounce the capital of burkina faso in Mossi?', 'answer': ['[ˈwɔɣədəɣʊ]']}, {'question': 'How do you pronounce the capital of burkina faso in French?', 'answer': ['[waɡaduɡu]']}]}]",-1910862419822972998,How do you pronounce the capital of burkina faso?
"[{'type': 'singleAnswer', 'answer': ['Stuart Hamblen', 'Carl Stuart Hamblen']}, {'type': 'multipleQAs', 'qaPairs': [{'question': ""Who wrote the song remember me i'm the one who loves you?"", 'answer': ['Stuart Hamblen']}, {'question': ""Who wrote the album remember me i'm the one who loves you?"", 'answer': ['Barrington Stuart', 'Fred Rose', 'Gary Walker', 'Peter Graves', 'John Hathcock', 'Frankie Brown', 'Roger Miller', 'Herb Newman', 'Sid Tepper', 'Bill West', 'Ray Winkler', 'Lee Ross', 'Roy Brodsky', 'Stuart Hamblen', 'Kendall Hayes', 'Ted Daffan', 'Dottie West', 'Hy Heath', 'Don Lanier', 'Bob Wills']}]}]",6382834993363744936,Who wrote remember me i'm the one who loves you?
"[{'type': 'singleAnswer', 'answer': ['Greg Maddux']}, {'type': 'singleAnswer', 'answer': ['Greg Maddux']}, {'type': 'singleAnswer', 'answer': ['Greg Maddux']}]",-4006186599286700529,Who has the most gold gloves in baseball?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""When was the last time USA women's hockey won gold at the IIHF World Championships?"", 'answer': ['2019']}, {'question': ""When was the last time USA women's hockey won gold at the Olympics?"", 'answer': ['2018']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'When was the last time usa womens hockey won gold in the Olympics?', 'answer': ['2018']}, {'question': 'When was the last time usa womens hockey won gold in the World Championship?', 'answer': ['2019']}, {'question': 'When was the last time usa womens hockey won gold in the 4 nations cup?', 'answer': ['2018']}]}]",5398964400508507960,When was the last time usa womens hockey won gold?
"[{'type': 'singleAnswer', 'answer': ['Arrows']}]",-8227159323073553077,Who sang i love rock and roll original?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'What is the name of the main river in Salzburg Austria?', 'answer': ['Salzach']}, {'question': 'What is the name of the river in Salzburg Austria that is 11 miles long?', 'answer': ['Almbach']}, {'question': 'What is the name of the river in Salzburg Austria that is the right tributary of the Salzach?', 'answer': ['Fischach']}]}]",-7651849869952295516,What is the name of the river in salzburg austria?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who plays the young White Queen in the movie Alice: Through the Looking Glass?', 'answer': ['Amelia Crouch']}, {'question': 'Who plays the adult White Queen in the movie Alice: Through the Looking Glass?', 'answer': ['Anne Hathaway']}]}]",-4651499553471529318,Who plays the white queen in alice through the looking glass?
"[{'type': 'singleAnswer', 'answer': ['March 3, 1931']}, {'type': 'singleAnswer', 'answer': ['March 3, 1931']}, {'type': 'singleAnswer', 'answer': ['March 3, 1931']}]",3064545560516825710,When did star spangled banner become our national anthem?
"[{'type': 'singleAnswer', 'answer': ['High Alps', 'Swiss Alps', 'The Alps', 'Pennine Alps']}, {'type': 'singleAnswer', 'answer': ['Swiss Alps', 'The Alps', 'Pennine Alps']}]",-1374031437615432306,Which mountains would you cross to travel from northern italy to switzerland?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'When does family guy season 16 come out?', 'answer': ['October 1, 2017']}, {'question': 'When does family guy season 15 come out?', 'answer': ['September 25, 2016']}, {'question': 'When does family guy season 14 come out?', 'answer': ['September 27, 2015']}]}]",-7856526841607636298,When does the new family guy season come out?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': ""Who won the singles men's French Open title in 2017?"", 'answer': ['Rafael Nadal']}, {'question': ""Who won the singles men's French Open title in 2016?"", 'answer': ['Novak Djokovic']}, {'question': ""Who won the singles men's French Open title in 2015?"", 'answer': ['Stan Wawrinka']}, {'question': ""Who won the doubles men's French Open title in 2017?"", 'answer': ['Ryan Harrison', 'Michael Venus']}, {'question': ""Who won the doubles men's French Open title in 2016?"", 'answer': ['Marc López', 'Feliciano López']}, {'question': ""Who won the doubles men's French Open title in 2015?"", 'answer': ['Ivan Dodig', 'Marcelo Melo']}]}]",-6082358069944180451,Who won the men's french open title?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Where is the tv show the ranch filmed?', 'answer': ['sound stage', 'Burbank, California']}, {'question': ""What fictional town is the tv show the ranch's ranch located near?"", 'answer': ['Garrison, Colorado']}, {'question': 'What is the name of the fictional ranch where the tv show the ranch takes place?', 'answer': ['Iron River Ranch']}]}, {'type': 'multipleQAs', 'qaPairs': [{'question': 'Where is the story of the tv show the ranch located?', 'answer': ['Garrison, Colorado', 'Iron River Ranch']}, {'question': 'Where is the tv show the ranch filmed?', 'answer': ['Ouray and San Miguel Counties', 'Ouray, Colorado', 'Norwood', 'Burbank, California']}]}]",765055097611749335,Where is the tv show the ranch located?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who is the character who dies in how to train your dragon 2?', 'answer': ['Stoick the Vast', 'Stoick']}, {'question': 'Who is the actor who plays the character who dies in how to train your dragon 2?', 'answer': ['Gerard Butler']}]}]",8142664608069718150,Who dies in how to train your dragon 2?
"[{'type': 'singleAnswer', 'answer': ['Dusty Springfield', ""Mary Isobel Catherine Bernadette O'Brien OBE""]}, {'type': 'singleAnswer', 'answer': ['Dusty Springfield', ""Mary Isobel Catherine Bernadette O'Brien""]}]",4679850753384990731,Who sang the original son of a preacher man?
"[{'type': 'multipleQAs', 'qaPairs': [{'question': 'Who is the singer of the original version of main tera boyfriend?', 'answer': ['J Star']}, {'question': 'Who is the singer of the revamped version of main tera boyfriend?', 'answer': ['Meet Bros, Arijit Singh, and Neha Kakkar', 'Meet Bros', 'Arijit Singh', 'Neha Kakkar']}, {'question': 'Who is the singer of main tera boyfriend featured in the music video?', 'answer': ['Kriti Sanon and Sushant Singh Rajput']}]}]",1763501929942667006,Who is the singer of main tera boyfriend?
"[{'type': 'singleAnswer', 'answer': ['Toby Buckland']}, {'type': 'singleAnswer', 'answer': ['Toby Buckland', 'Toby Neale Buckland']}]",-388980298258801319,Who presented gardeners world from 2008 to 2010?
