,qtype,question,valid,answer,possible_ambiguities,ambiguous_question,unambiguous_question,ambiguous_question_answered_by_gpt4,unambiguous_question_answered_by_gpt4,answers,ambiguous_question_answered_correct_by_gpt4,unambiguous_question_answered_correct_by_gpt4
76,outlook,What is the outlook for Plasma Cell Neoplasms (Including Multiple Myeloma) ?,1,"Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) depends on the following:         - The type of plasma cell neoplasm.    - The stage of the disease.    - Whether a certain immunoglobulin (antibody) is present.    - Whether there are certain genetic changes.    - Whether the kidney is damaged.    - Whether the cancer responds to initial treatment or recurs (comes back).        Treatment options depend on the following:         - The type of plasma cell neoplasm.    - The age and general health of the patient.    - Whether there are signs, symptoms, or health problems, such as kidney failure or infection, related to the disease.    - Whether the cancer responds to initial treatment or recurs (comes back).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PCN"", ""full_form"": ""Plasma Cell Neoplasms""}]}",What is the outlook for PCN (Including Multiple Myeloma) ?,What is the outlook for Plasma Cell Neoplasms (Including Multiple Myeloma) ?,"The outlook for plasma cell neoplasms (PCN), including multiple myeloma, varies widely depending on factors such as the specific type of neoplasm, stage at diagnosis, patient's age, overall health, and response to treatment. Advances in treatments, including targeted therapies and stem cell transplantation, have improved survival rates and quality of life for many patients. However, multiple myeloma often remains incurable, with treatment focused on managing symptoms and prolonging survival.","The outlook for Plasma Cell Neoplasms, including Multiple Myeloma, varies widely depending on factors such as the stage of the disease at diagnosis, the patient's age, overall health, and response to treatment. Advances in treatments, including stem cell transplantation, targeted therapy, and immunotherapy, have improved survival rates and quality of life for many patients. However, Multiple Myeloma remains incurable, and management focuses on controlling symptoms and prolonging survival.","['Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) depends on the following:         - The type of plasma cell neoplasm.    - The stage of the disease.    - Whether a certain immunoglobulin (antibody) is present.    - Whether there are certain genetic changes.    - Whether the kidney is damaged.    - Whether the cancer responds to initial treatment or recurs (comes back).        Treatment options depend on the following:         - The type of plasma cell neoplasm.    - The age and general health of the patient.    - Whether there are signs, symptoms, or health problems, such as kidney failure or infection, related to the disease.    - Whether the cancer responds to initial treatment or recurs (comes back).']",True,True
77,symptoms,What are the symptoms of GOMBO syndrome ?,1,"What are the signs and symptoms of GOMBO syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for GOMBO syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of cardiovascular system morphology - Autosomal recessive inheritance - Brachydactyly syndrome - Clinodactyly - Delayed puberty - Intellectual disability, progressive - Intellectual disability, severe - Microcephaly - Microphthalmia - Radial deviation of finger - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""GOMBO"", ""full_form"": ""Growth retardation, Ocular abnormalities, Microcephaly, Brachydactyly, and Oligophrenia""}]}",What are the symptoms of GOMBO syndrome ?,"What are the symptoms of Growth retardation, Ocular abnormalities, Microcephaly, Brachydactyly, and Oligophrenia syndrome ?","Symptoms of GOMBO syndrome include growth retardation, ocular abnormalities, microcephaly, brachydactyly, and oligophrenia.","Symptoms of Growth retardation, Ocular abnormalities, Microcephaly, Brachydactyly, and Oligophrenia syndrome (GOMBO syndrome) include delayed growth, eye abnormalities, smaller than average head size, shortened fingers and toes, and intellectual disability.","['What are the signs and symptoms of GOMBO syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for GOMBO syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of cardiovascular system morphology - Autosomal recessive inheritance - Brachydactyly syndrome - Clinodactyly - Delayed puberty - Intellectual disability, progressive - Intellectual disability, severe - Microcephaly - Microphthalmia - Radial deviation of finger - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",True,True
78,information,What is (are) hereditary sensory and autonomic neuropathy type V ?,1,"Hereditary sensory and autonomic neuropathy type V (HSAN5) is a condition that primarily affects the sensory nerve cells (sensory neurons), which transmit information about sensations such as pain, temperature, and touch. These sensations are impaired in people with HSAN5.  The signs and symptoms of HSAN5 appear early, usually at birth or during infancy. People with HSAN5 lose the ability to feel pain, heat, and cold. Deep pain perception, the feeling of pain from injuries to bones, ligaments, or muscles, is especially affected in people with HSAN5. Because of the inability to feel deep pain, affected individuals suffer repeated severe injuries such as bone fractures and joint injuries that go unnoticed. Repeated trauma can lead to a condition called Charcot joints, in which the bones and tissue surrounding joints are destroyed.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HSAN5"", ""full_form"": ""hereditary sensory and autonomic neuropathy type V""}]}",What is (are) HSAN5 ?,What is (are) hereditary sensory and autonomic neuropathy type V ?,"HSAN5 is Hereditary Sensory and Autonomic Neuropathy Type V, a rare genetic condition characterized by loss of pain perception and temperature sensitivity.","Hereditary sensory and autonomic neuropathy type V is a condition characterized by an impaired ability to feel pain and temperature changes, leading to self-mutilation and injury.","['Hereditary sensory and autonomic neuropathy type V (HSAN5) is a condition that primarily affects the sensory nerve cells (sensory neurons), which transmit information about sensations such as pain, temperature, and touch. These sensations are impaired in people with HSAN5.  The signs and symptoms of HSAN5 appear early, usually at birth or during infancy. People with HSAN5 lose the ability to feel pain, heat, and cold. Deep pain perception, the feeling of pain from injuries to bones, ligaments, or muscles, is especially affected in people with HSAN5. Because of the inability to feel deep pain, affected individuals suffer repeated severe injuries such as bone fractures and joint injuries that go unnoticed. Repeated trauma can lead to a condition called Charcot joints, in which the bones and tissue surrounding joints are destroyed.']",True,True
79,information,What is (are) Mucopolysaccharidosis type IIID ?,1,"Mucopolysaccharidosis type IIID (MPS IIID) is an genetic disorder that makes the body unable to break down large sugar molecules called glycosaminoglycans (GAGs, formerly called mucopolysaccharides). Specifically, people with this condition are unable to break down a GAG called heparan sulfate. Affected individuals can have severe neurological symptoms, including progressive dementia, aggressive behavior, hyperactivity, seizures, deafness, loss of vision, and an inability to sleep for more than a few hours at a time. MPS IIID is caused by the missing or deficient enzyme N-acetylglucosamine 6-sulfatase. MPS IIID is inherited in an autosomal recessive manner. There is no specific treatment for this condition. Most people with MPS IIID live into their teenage years, and some live longer.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MPS IIID"", ""full_form"": ""Mucopolysaccharidosis type IIID""}]}",What is (are) MPS IIID ?,What is (are) Mucopolysaccharidosis type IIID ?,"MPS IIID, also known as Sanfilippo Syndrome Type D, is a rare genetic disorder characterized by a deficiency of the enzyme N-acetylglucosamine 6-sulfatase, leading to the accumulation of heparan sulfate in the body and causing severe neurological symptoms.","Mucopolysaccharidosis type IIID, also known as Sanfilippo syndrome type D, is a rare genetic disorder characterized by the body's inability to properly break down certain large sugar molecules called glycosaminoglycans, leading to their accumulation in various body tissues and causing progressive damage.","['Mucopolysaccharidosis type IIID (MPS IIID) is an genetic disorder that makes the body unable to break down large sugar molecules called glycosaminoglycans (GAGs, formerly called mucopolysaccharides). Specifically, people with this condition are unable to break down a GAG called heparan sulfate. Affected individuals can have severe neurological symptoms, including progressive dementia, aggressive behavior, hyperactivity, seizures, deafness, loss of vision, and an inability to sleep for more than a few hours at a time. MPS IIID is caused by the missing or deficient enzyme N-acetylglucosamine 6-sulfatase. MPS IIID is inherited in an autosomal recessive manner. There is no specific treatment for this condition. Most people with MPS IIID live into their teenage years, and some live longer.']",True,True
80,symptoms,What are the symptoms of Congenital hypothyroidism ?,1,"What are the signs and symptoms of Congenital hypothyroidism? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital hypothyroidism. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the fontanelles or cranial sutures 90% Abnormality of the liver 90% Abnormality of the tongue 90% Abnormality of the voice 90% Aplasia/Hypoplasia of the abdominal wall musculature 90% Constipation 90% Hypothyroidism 90% Muscular hypotonia 90% Sleep disturbance 90% Umbilical hernia 90% Coarse facial features 50% Cognitive impairment 50% Depressed nasal ridge 50% Dry skin 50% Hypothermia 50% Short stature 50% Sinusitis 50% Thickened skin 50% Abnormality of epiphysis morphology 7.5% Abnormality of reproductive system physiology 7.5% Abnormality of the pericardium 7.5% Anterior hypopituitarism 7.5% Arrhythmia 7.5% Cataract 7.5% Goiter 7.5% Hearing impairment 7.5% Hypertension 7.5% Hypotension 7.5% Intestinal obstruction 7.5% Nephrolithiasis 7.5% Optic atrophy 7.5% Oral cleft 7.5% Paresthesia 7.5% Tracheoesophageal fistula 7.5% Autosomal recessive inheritance - Congenital hypothyroidism - Infantile onset - Thyroid hypoplasia - Thyroid-stimulating hormone excess - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CH"", ""full_form"": ""Congenital hypothyroidism""}]}",What are the symptoms of CH ?,What are the symptoms of Congenital hypothyroidism ?,"Symptoms of Congenital Hypothyroidism (CH) can include jaundice, a large protruding tongue, hoarse crying, an umbilical hernia, constipation, poor muscle tone, cold skin, and poor feeding.","Symptoms of congenital hypothyroidism can include jaundice, a large fontanelle, a puffy face, a large tongue, poor muscle tone, cold extremities, constipation, and poor feeding or choking episodes.","['What are the signs and symptoms of Congenital hypothyroidism? The Human Phenotype Ontology provides the following list of signs and symptoms for Congenital hypothyroidism. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the fontanelles or cranial sutures 90% Abnormality of the liver 90% Abnormality of the tongue 90% Abnormality of the voice 90% Aplasia/Hypoplasia of the abdominal wall musculature 90% Constipation 90% Hypothyroidism 90% Muscular hypotonia 90% Sleep disturbance 90% Umbilical hernia 90% Coarse facial features 50% Cognitive impairment 50% Depressed nasal ridge 50% Dry skin 50% Hypothermia 50% Short stature 50% Sinusitis 50% Thickened skin 50% Abnormality of epiphysis morphology 7.5% Abnormality of reproductive system physiology 7.5% Abnormality of the pericardium 7.5% Anterior hypopituitarism 7.5% Arrhythmia 7.5% Cataract 7.5% Goiter 7.5% Hearing impairment 7.5% Hypertension 7.5% Hypotension 7.5% Intestinal obstruction 7.5% Nephrolithiasis 7.5% Optic atrophy 7.5% Oral cleft 7.5% Paresthesia 7.5% Tracheoesophageal fistula 7.5% Autosomal recessive inheritance - Congenital hypothyroidism - Infantile onset - Thyroid hypoplasia - Thyroid-stimulating hormone excess - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.']",True,True
81,information,What is (are) benign recurrent intrahepatic cholestasis ?,1,"Benign recurrent intrahepatic cholestasis (BRIC) is characterized by episodes of liver dysfunction called cholestasis. During these episodes, the liver cells have a reduced ability to release a digestive fluid called bile. Because the problems with bile release occur within the liver (intrahepatic), the condition is described as intrahepatic cholestasis. Episodes of cholestasis can last from weeks to months, and the time between episodes, during which there are usually no symptoms, can vary from weeks to years.  The first episode of cholestasis usually occurs in an affected person's teens or twenties. An attack typically begins with severe itchiness (pruritus), followed by yellowing of the skin and whites of the eyes (jaundice) a few weeks later. Other general signs and symptoms that occur during these episodes include a vague feeling of discomfort (malaise), irritability, nausea, vomiting, and a lack of appetite. A common feature of BRIC is the reduced absorption of fat in the body, which leads to excess fat in the feces (steatorrhea). Because of a lack of fat absorption and loss of appetite, affected individuals often lose weight during episodes of cholestasis.  BRIC is divided into two types, BRIC1 and BRIC2, based on the genetic cause of the condition. The signs and symptoms are the same in both types.  This condition is called benign because it does not cause lasting damage to the liver. However, episodes of liver dysfunction occasionally develop into a more severe, permanent form of liver disease known as progressive familial intrahepatic cholestasis (PFIC). BRIC and PFIC are sometimes considered to be part of a spectrum of intrahepatic cholestasis disorders of varying severity.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BRIC"", ""full_form"": ""benign recurrent intrahepatic cholestasis""}]}",What is (are) BRIC ?,What is (are) benign recurrent intrahepatic cholestasis ?,"BRIC refers to the economies of Brazil, Russia, India, and China.","Benign recurrent intrahepatic cholestasis is a rare liver disorder characterized by episodes of liver dysfunction, including jaundice, itching, and elevated liver enzymes, without long-term liver damage.","[""Benign recurrent intrahepatic cholestasis (BRIC) is characterized by episodes of liver dysfunction called cholestasis. During these episodes, the liver cells have a reduced ability to release a digestive fluid called bile. Because the problems with bile release occur within the liver (intrahepatic), the condition is described as intrahepatic cholestasis. Episodes of cholestasis can last from weeks to months, and the time between episodes, during which there are usually no symptoms, can vary from weeks to years.  The first episode of cholestasis usually occurs in an affected person's teens or twenties. An attack typically begins with severe itchiness (pruritus), followed by yellowing of the skin and whites of the eyes (jaundice) a few weeks later. Other general signs and symptoms that occur during these episodes include a vague feeling of discomfort (malaise), irritability, nausea, vomiting, and a lack of appetite. A common feature of BRIC is the reduced absorption of fat in the body, which leads to excess fat in the feces (steatorrhea). Because of a lack of fat absorption and loss of appetite, affected individuals often lose weight during episodes of cholestasis.  BRIC is divided into two types, BRIC1 and BRIC2, based on the genetic cause of the condition. The signs and symptoms are the same in both types.  This condition is called benign because it does not cause lasting damage to the liver. However, episodes of liver dysfunction occasionally develop into a more severe, permanent form of liver disease known as progressive familial intrahepatic cholestasis (PFIC). BRIC and PFIC are sometimes considered to be part of a spectrum of intrahepatic cholestasis disorders of varying severity.""]",,True
82,treatment,What are the treatments for DOORS syndrome ?,1,These resources address the diagnosis or management of DOORS syndrome:  - Gene Review: Gene Review: TBC1D24-Related Disorders   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""DOORS"", ""full_form"": ""Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, Seizures""}]}",What are the treatments for DOORS syndrome ?,"What are the treatments for Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, Seizures syndrome ?","Treatments for DOORS syndrome are supportive and symptomatic, including hearing aids for deafness, early educational interventions for developmental delays, and management of seizures with antiepileptic drugs. There is no cure for DOORS syndrome, so treatments focus on managing symptoms and improving quality of life.","There is no cure for Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, Seizures (DOORS) syndrome. Treatment is symptomatic and supportive, focusing on managing individual symptoms such as hearing aids for deafness, educational support for mental retardation, and medications for seizures.",['These resources address the diagnosis or management of DOORS syndrome:  - Gene Review: Gene Review: TBC1D24-Related Disorders   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care'],,
83,information,What is (are) Chromosome 6p deletion ?,0,"Chromosome 6p deletion is a chromosome abnormality that occurs when there is a missing copy of the genetic material located on the short arm (p) of chromosome 6. The severity of the condition and the signs and symptoms depend on the size and location of the deletion and which genes are involved. Features that often occur in people with chromosome 6p deletion include developmental delay, intellectual disability, behavioral problems, and distinctive facial features. Chromosome 6p deletion can be de novo or inherited from a parent with a chromosomal rearrangement such as a balanced translocation. Treatment is based on the signs and symptoms present in each person.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""6p"", ""full_form"": ""Chromosome 6p""}]}",,,,,,,
84,treatment,What are the treatments for Arteriovenous Malformation ?,1,"Treatment options depend on the type of AVM, its location, noticeable symptoms, and the general health condition of the individual. Medication can often alleviate general symptoms such as headache, back pain, and seizures caused by AVMs and other vascular lesions. The definitive treatment for AVMs is either surgery to either remove the AVM or to create an artificial blood clot to close the lesion or focused irradiation treatment that is designed to damage the blood vessel walls and close the lesion. The decision to treat an AVM requires a careful consideration of possible benefits versus risks.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AVM"", ""full_form"": ""Arteriovenous Malformation""}]}",What are the treatments for AVM ?,What are the treatments for Arteriovenous Malformation ?,"Treatments for arteriovenous malformation (AVM) include surgical removal, endovascular embolization, and stereotactic radiosurgery.","Treatments for Arteriovenous Malformation (AVM) include surgical removal, endovascular embolization, and stereotactic radiosurgery.","['Treatment options depend on the type of AVM, its location, noticeable symptoms, and the general health condition of the individual. Medication can often alleviate general symptoms such as headache, back pain, and seizures caused by AVMs and other vascular lesions. The definitive treatment for AVMs is either surgery to either remove the AVM or to create an artificial blood clot to close the lesion or focused irradiation treatment that is designed to damage the blood vessel walls and close the lesion. The decision to treat an AVM requires a careful consideration of possible benefits versus risks.']",True,True
85,exams and tests,How to diagnose Parasites - Enterobiasis (also known as Pinworm Infection) ?,0,"A person infected with pinworm is often asymptomatic, but itching around the anus is a common symptom. Diagnosis of pinworm can be reached from three simple techniques. The first option is to look for the worms in the perianal reqion 2 to 3 hours after the infected person is asleep. The second option is to touch the perianal skin with transparent tape to collect possible pinworm eggs around the anus first thing in the morning. If a person is infected, the eggs on the tape will be visible under a microscope. The tape method should be conducted on 3 consecutive mornings right after the infected person wakes up and before he/she does any washing. Since anal itching is a common symptom of pinworm, the third option for diagnosis is analyzing samples from under fingernails under a microscope. An infected person who has scratched the anal area may have picked up some pinworm eggs under the nails that could be used for diagnosis.
    
Since pinworm eggs and worms are often sparse in stool, examining stool samples is not recommended. Serologic tests are not available for diagnosing pinworm infections.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""Pinworm Infection"", ""full_form"": ""Parasites - Enterobiasis""}]}",,,,,,,
86,information,What is (are) tuberous sclerosis complex ?,1,"Tuberous sclerosis complex is a genetic disorder characterized by the growth of numerous noncancerous (benign) tumors in many parts of the body. These tumors can occur in the skin, brain, kidneys, and other organs, in some cases leading to significant health problems. Tuberous sclerosis complex also causes developmental problems, and the signs and symptoms of the condition vary from person to person.  Virtually all affected people have skin abnormalities, including patches of unusually light-colored skin, areas of raised and thickened skin, and growths under the nails. Tumors on the face called facial angiofibromas are also common beginning in childhood.  Tuberous sclerosis complex often affects the brain, causing seizures, behavioral problems such as hyperactivity and aggression, and intellectual disability or learning problems. Some affected children have the characteristic features of autism, a developmental disorder that affects communication and social interaction. Benign brain tumors can also develop in people with tuberous sclerosis complex; these tumors can cause serious or life-threatening complications.  Kidney tumors are common in people with tuberous sclerosis complex; these growths can cause severe problems with kidney function and may be life-threatening in some cases. Additionally, tumors can develop in the heart, lungs, and the light-sensitive tissue at the back of the eye (the retina).","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""TSC"", ""full_form"": ""tuberous sclerosis complex""}]}",What is (are) TSC ?,What is (are) tuberous sclerosis complex ?,TSC stands for TypeScript Compiler.,Tuberous sclerosis complex is a genetic disorder that causes non-cancerous (benign) tumors to grow in many parts of the body.,"['Tuberous sclerosis complex is a genetic disorder characterized by the growth of numerous noncancerous (benign) tumors in many parts of the body. These tumors can occur in the skin, brain, kidneys, and other organs, in some cases leading to significant health problems. Tuberous sclerosis complex also causes developmental problems, and the signs and symptoms of the condition vary from person to person.  Virtually all affected people have skin abnormalities, including patches of unusually light-colored skin, areas of raised and thickened skin, and growths under the nails. Tumors on the face called facial angiofibromas are also common beginning in childhood.  Tuberous sclerosis complex often affects the brain, causing seizures, behavioral problems such as hyperactivity and aggression, and intellectual disability or learning problems. Some affected children have the characteristic features of autism, a developmental disorder that affects communication and social interaction. Benign brain tumors can also develop in people with tuberous sclerosis complex; these tumors can cause serious or life-threatening complications.  Kidney tumors are common in people with tuberous sclerosis complex; these growths can cause severe problems with kidney function and may be life-threatening in some cases. Additionally, tumors can develop in the heart, lungs, and the light-sensitive tissue at the back of the eye (the retina).']",,True
87,inheritance,Is hereditary diffuse gastric cancer inherited ?,1,"HDGC is inherited in an autosomal dominant pattern, which means one copy of the altered CDH1 gene in each cell is sufficient to increase the risk of developing cancer.  In most cases, an affected person has one parent with the condition.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HDGC"", ""full_form"": ""hereditary diffuse gastric cancer""}]}",Is HDGC inherited ?,Is hereditary diffuse gastric cancer inherited ?,Yes,Yes,"['HDGC is inherited in an autosomal dominant pattern, which means one copy of the altered CDH1 gene in each cell is sufficient to increase the risk of developing cancer.  In most cases, an affected person has one parent with the condition.']",,
88,inheritance,Is X-linked agammaglobulinemia inherited ?,1,"This condition is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.  About half of affected individuals do not have a family history of XLA. In most of these cases, the affected person's mother is a carrier of one altered BTK gene. Carriers do not have the immune system abnormalities associated with XLA, but they can pass the altered gene to their children. In other cases, the mother is not a carrier and the affected individual has a new mutation in the BTK gene.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""XLA"", ""full_form"": ""X-linked agammaglobulinemia""}]}",Is XLA inherited ?,Is X-linked agammaglobulinemia inherited ?,No,Yes,"[""This condition is inherited in an X-linked recessive pattern. The gene associated with this condition is located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.  About half of affected individuals do not have a family history of XLA. In most of these cases, the affected person's mother is a carrier of one altered BTK gene. Carriers do not have the immune system abnormalities associated with XLA, but they can pass the altered gene to their children. In other cases, the mother is not a carrier and the affected individual has a new mutation in the BTK gene.""]",,True
89,information,What is (are) Hermansky-Pudlak syndrome ?,1,"Hermansky-Pudlak syndrome is a multisystem, genetic condition characterized by blood platelet dysfunction with prolonged bleeding, visual impairment, and abnormally light coloring of the skin, hair, and eyes (oculocutaneous albinism). Long-term sun exposure greatly increases the risk of skin damage and skin cancers. Some individuals have colitis, kidney failure, and pulmonary fibrosis. Symptoms of pulmonary fibrosis usually appear during the early thirties and rapidly worsen. This condition is inherited in an autosomal recessive fashion. Treatment is symptomatic and supportive. There are nine different types of Hermansky-Pudlak syndrome, which can be distinguished by their signs and symptoms and underlying genetic cause. Types 1 and 4 are the most severe forms. Types 1, 2, and 4 are the only types associated with pulmonary fibrosis. Individuals with type 3, 5, or 6 have the mildest symptoms of all the types. Little is known about the signs, symptoms, and severity of types 7, 8 and 9.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""HPS"", ""full_form"": ""Hermansky-Pudlak syndrome""}]}",What is (are) HPS ?,What is (are) Hermansky-Pudlak syndrome ?,"HPS stands for High-Pressure Sodium, a type of lighting often used for street lighting and in horticulture.","Hermansky-Pudlak syndrome is a rare genetic disorder characterized by albinism, bleeding disorders, and lung and bowel diseases.","['Hermansky-Pudlak syndrome is a multisystem, genetic condition characterized by blood platelet dysfunction with prolonged bleeding, visual impairment, and abnormally light coloring of the skin, hair, and eyes (oculocutaneous albinism). Long-term sun exposure greatly increases the risk of skin damage and skin cancers. Some individuals have colitis, kidney failure, and pulmonary fibrosis. Symptoms of pulmonary fibrosis usually appear during the early thirties and rapidly worsen. This condition is inherited in an autosomal recessive fashion. Treatment is symptomatic and supportive. There are nine different types of Hermansky-Pudlak syndrome, which can be distinguished by their signs and symptoms and underlying genetic cause. Types 1 and 4 are the most severe forms. Types 1, 2, and 4 are the only types associated with pulmonary fibrosis. Individuals with type 3, 5, or 6 have the mildest symptoms of all the types. Little is known about the signs, symptoms, and severity of types 7, 8 and 9.']",,True
90,information,What is (are) Hantavirus Infections ?,0,"Hantavirus pulmonary syndrome (HPS) is a rare but deadly viral infection. It is spread by mice and rats. They shed the virus in their urine, droppings, and saliva. Tiny droplets with the virus can enter the air. People can get the disease if they breathe infected air or come into contact with rodents or their urine or droppings. You cannot catch it from people.    Early symptoms of HPS include       -  Fatigue    -  Fever     -  Muscle aches, especially in the thighs, hips and back    -  Headaches    -  Chills    -  Dizziness    -  Nausea, vomiting, diarrhea or abdominal pain       Later symptoms include coughing and shortness of breath.     Controlling rodents in and around your house is the best way to prevent infection. If you have been around rodents and have symptoms of fever, deep muscle aches, and severe shortness of breath, see your doctor immediately.    There is no specific treatment, cure, or vaccine for HPS. Patients may do better if it is recognized early and they get medical care in an intensive care unit. They often need to use a breathing machine and have oxygen therapy.    Centers for Disease Control and Prevention","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""Hantavirus"", ""full_form"": ""Hantavirus""}]}",,,,,,,
