qtype,question,answer,possible_ambiguities,ambiguous_question,unambiguous_question
treatment,What are the treatments for SUNCT Headache ?,"These headaches are generally non-responsive to usual treatment for other short-lasting headaches. Corticosteroids and the anti-epileptic drugs gabapentin, lamotrigine, and carbamazepine may help relieve some symptoms in some patients. Studies have shown that injections of glycerol to block nerve signaling along the trigeminal nerve may provide temporary relief in some severe cases, but the headaches recurred in about 40 percent of individuals studied.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""SUNCT"", ""full_form"": ""Short-lasting Unilateral Neuralgiform headache attacks with Conjunctival injection and Tearing""}]}",What are the treatments for SUNCT Headache ?,What are the treatments for Short-lasting Unilateral Neuralgiform headache attacks with Conjunctival injection and Tearing Headache ?
causes,What causes Cryptogenic organizing pneumonia ?,"What causes cryptogenic organizing pneumonia? The underlying cause of cryptogenic organizing pneumonia (COP) is unknown (idiopathic). Organizing pneumonia is specifically diagnosed as COP when, among other characteristics, no definite cause for the organizing pneumonia is found. In other words, any known cause for the pneumonia must be ruled out before stating that a person is affected by COP. Other forms of organizing pneumonia may result from infection (bacteria, viruses, parasites, or fungi); drugs; or a reaction to radiation therapy for breast cancer. Organizing pneumonia can also be associated with specific disorders such as certain connective tissue disorders, blood malignancies (cancers), or ulcerative colitis.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""COP"", ""full_form"": ""Cryptogenic organizing pneumonia""}]}",What causes COP ?,What causes Cryptogenic organizing pneumonia ?
considerations,What to do for Cyclic Vomiting Syndrome ?,"- Cyclic vomiting syndrome, sometimes referred to as CVS, is an increasingly recognized disorder with sudden, repeated attacksalso called episodesof severe nausea, vomiting, and physical exhaustion that occur with no apparent cause.  - The disorder can affect a person for months, years, or decades.  - The cause of cyclic vomiting syndrome is unknown.  - The severe vomiting and retching that define cyclic vomiting syndrome increase the chance of developing several complications, including dehydration, esophagitis, a Mallory-Weiss tear, and tooth decay.  - Intensity of symptoms will vary as a person cycles through four distinct phases of an episode.  - The main symptoms of cyclic vomiting syndrome are severe nausea and sudden vomiting lasting hours to days.  - People with cyclic vomiting syndrome should get plenty of rest and take medications to prevent a vomiting episode, stop an episode in progress, speed up recovery, or relieve associated symptoms.  - During the well phase, a balanced diet and regular meals are important. A health care provider will assist with planning a return to a regular diet.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CVS"", ""full_form"": ""Cyclic Vomiting Syndrome""}]}",What to do for CVS ?,What to do for Cyclic Vomiting Syndrome ?
frequency,How many people are affected by X-linked chondrodysplasia punctata 1 ?,The prevalence of X-linked chondrodysplasia punctata 1 is unknown. Several dozen affected males have been reported in the scientific literature.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""XLC1"", ""full_form"": ""X-linked chondrodysplasia punctata 1""}]}",How many people are affected by XLC1 ?,How many people are affected by X-linked chondrodysplasia punctata 1 ?
symptoms,What are the symptoms of Cone-rod dystrophy 2 ?,"What are the signs and symptoms of Cone-rod dystrophy 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Cone-rod dystrophy 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of color vision - Autosomal dominant inheritance - Blindness - Chorioretinal atrophy - Cone/cone-rod dystrophy - Constriction of peripheral visual field - Nyctalopia - Peripheral visual field loss - Reduced visual acuity - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CORD2"", ""full_form"": ""Cone-rod dystrophy 2""}]}",What are the symptoms of CORD2 ?,What are the symptoms of Cone-rod dystrophy 2 ?
symptoms,What are the symptoms of Spinocerebellar ataxia 11 ?,"What are the signs and symptoms of Spinocerebellar ataxia 11? The Human Phenotype Ontology provides the following list of signs and symptoms for Spinocerebellar ataxia 11. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Adult onset - Autosomal dominant inheritance - Cerebellar atrophy - Dysarthria - Hyperreflexia - Nystagmus - Progressive cerebellar ataxia - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""SCA11"", ""full_form"": ""Spinocerebellar ataxia 11""}]}",What are the symptoms of SCA11 ?,What are the symptoms of Spinocerebellar ataxia 11 ?
genetic changes,What are the genetic changes related to pulmonary arterial hypertension ?,"Mutations in the BMPR2 gene are the most common genetic cause of pulmonary arterial hypertension. This gene plays a role in regulating the number of cells in certain tissues. Researchers suggest that a mutation in this gene promotes cell division or prevents cell death, resulting in an overgrowth of cells in small arteries throughout the lungs. As a result, these arteries narrow in diameter, which increases the resistance to blood flow. Blood pressure in the pulmonary artery and the right ventricle of the heart increases to overcome the increased resistance to blood flow.  Mutations in several additional genes have also been found to cause pulmonary arterial hypertension, but they are much less common causes of the disorder than are BMPR2 gene mutations. Variations in other genes may increase the risk of developing pulmonary arterial hypertension or modify the course of the disease (usually making it more severe). Changes in as-yet-unidentified genes may also be associated with this condition.  Although pulmonary arterial hypertension often occurs on its own, it can also be part of syndromes that affect many parts of the body. For example, this condition is occasionally found in people with systemic scleroderma, systemic lupus erythematosus, critical congenital heart disease, or Down syndrome.  Researchers have also identified nongenetic factors that increase the risk of developing pulmonary arterial hypertension. These include certain drugs used as appetite suppressants and several illegal drugs, such as cocaine and methamphetamine. Pulmonary arterial hypertension is also a rare complication of certain infectious diseases, including HIV and schistosomiasis.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PAH"", ""full_form"": ""pulmonary arterial hypertension""}]}",What are the genetic changes related to PAH ?,What are the genetic changes related to pulmonary arterial hypertension ?
outlook,What is the outlook for Progressive Multifocal Leukoencephalopathy ?,"In general, PML has a mortality rate of 30-50 percent in the first few months following diagnosis but depends on the severity of the underlying disease and treatment received. Those who survive PML can be left with severe neurological disabilities.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PML"", ""full_form"": ""Progressive Multifocal Leukoencephalopathy""}]}",What is the outlook for PML ?,What is the outlook for Progressive Multifocal Leukoencephalopathy ?
symptoms,What are the symptoms of Autoimmune autonomic ganglionopathy ?,What are the signs and symptoms of autoimmune autonomic ganglionopathy? The symptoms of autoimmune autonomic ganglionopathy can include: Severe orthostatic hypotension (low blood pressure upon standing) that persists for weeks to years Fainting Constipation and gastrointestinal dysmotility (a condition in which the muscles and nerves of the digestive system do not move food through the digestive tract efficiently) Urinary retention Fixed and dilated pupils Dry mouth and eyes Some people with autoimmune autonomic ganglionopathy present with POTS-like symptoms.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AAG"", ""full_form"": ""Autoimmune autonomic ganglionopathy""}]}",What are the symptoms of AAG ?,What are the symptoms of Autoimmune autonomic ganglionopathy ?
causes,What causes Childhood Nephrotic Syndrome ?,"While idiopathic, or unknown, diseases are the most common cause of primary childhood nephrotic syndrome, researchers have linked certain diseases and some specific genetic changes that damage the kidneys with primary childhood nephrotic syndrome.
                
The cause of secondary childhood nephrotic syndrome is an underlying disease or infection. Called a primary illness, its this underlying disease or infection that causes changes in the kidney function that can result in secondary childhood nephrotic syndrome.
                
Congenital diseasesdiseases that are present at birthcan also cause childhood nephrotic syndrome.
                
Primary Childhood Nephrotic Syndrome
                
The following diseases are different types of idiopathic childhood nephrotic syndrome:
                
- Minimal change disease involves damage to the glomeruli that can be seen only with an electron microscope. This type of microscope shows tiny details better than any other microscope. Scientists do not know the exact cause of minimal change disease. Minimal change disease is the most common cause of idiopathic childhood nephrotic syndrome.1  - Focal segmental glomerulosclerosis is scarring in scattered regions of the kidney:     - Focal means that only some of the glomeruli become scarred.    - Segmental means damage affects only part of an individual glomerulus.    - Membranoproliferative glomerulonephritis is a group of disorders involving deposits of antibodies that build up in the glomeruli, causing thickening and damage. Antibodies are proteins made by the immune system to protect the body from foreign substances such as bacteria or viruses.
                
Secondary Childhood Nephrotic Syndrome
                
Some common diseases that can cause secondary childhood nephrotic syndrome include
                
- diabetes, a condition that occurs when the body cannot use glucosea type of sugarnormally  - Henoch-Schnlein purpura, a disease that causes small blood vessels in the body to become inflamed and leak  - hepatitis, inflammation of the liver caused by a virus  - human immunodeficiency virus (HIV), a virus that alters the immune system  - lupus, an autoimmune disease that occurs when the body attacks its own immune system  - malaria, a disease of the blood that is spread by mosquitos  - streptococcal infection, an infection that results when the bacteria that causes strep throat or a skin infection is left untreated
                
Other causes of secondary childhood nephrotic syndrome can include certain medications, such as aspirin, ibuprofen, or other nonsteroidal anti-inflammatory drugs, and exposure to chemicals, such as mercury and lithium.
                
Congenital Diseases and Childhood Nephrotic Syndrome
                
Congenital nephrotic syndrome is rare and affects infants in the first 3 months of life.2 This type of nephrotic syndrome, sometimes called infantile nephrotic syndrome, can be caused by
                
- inherited genetic defects, which are problems passed from parent to child through genes  - infections at the time of birth
                
More information about underlying diseases or infections that cause changes in kidney function is provided in the NIDDK health topic, Glomerular Diseases.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CNS"", ""full_form"": ""Childhood Nephrotic Syndrome""}]}",What causes CNS ?,What causes Childhood Nephrotic Syndrome ?
symptoms,What are the symptoms of Amyotonia congenita ?,"What are the signs and symptoms of Amyotonia congenita? The Human Phenotype Ontology provides the following list of signs and symptoms for Amyotonia congenita. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Skeletal muscle atrophy - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""AC"", ""full_form"": ""Amyotonia congenita""}]}",What are the symptoms of AC ?,What are the symptoms of Amyotonia congenita ?
genetic changes,What are the genetic changes related to familial exudative vitreoretinopathy ?,"Mutations in the FZD4, LRP5, and NDP genes can cause familial exudative vitreoretinopathy. These genes provide instructions for making proteins that participate in a chemical signaling pathway that affects the way cells and tissues develop. In particular, the proteins produced from the FZD4, LRP5, and NDP genes appear to play critical roles in the specialization of retinal cells and the establishment of a blood supply to the retina and the inner ear. The LRP5 protein also helps regulate bone formation.  Mutations in the FZD4, LRP5, or NDP gene disrupt chemical signaling during early development, which interferes with the formation of blood vessels at the edges of the retina. The resulting abnormal blood supply to this tissue leads to retinal damage and vision loss in some people with familial exudative vitreoretinopathy.  The eye abnormalities associated with familial exudative vitreoretinopathy tend to be similar no matter which gene is altered. However, affected individuals with LRP5 gene mutations often have reduced bone mineral density in addition to vision loss. Mutations in the other genes responsible for familial exudative vitreoretinopathy do not appear to affect bone density.  In some cases, the cause of familial exudative vitreoretinopathy is unknown. Researchers believe that mutations in several as-yet-unidentified genes are responsible for the disorder in these cases.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""FEVR"", ""full_form"": ""familial exudative vitreoretinopathy""}]}",What are the genetic changes related to FEVR ?,What are the genetic changes related to familial exudative vitreoretinopathy ?
frequency,How many people are affected by glycogen storage disease type IV ?,"GSD IV is estimated to occur in 1 in 600,000 to 800,000 individuals worldwide. Type IV accounts for roughly 3 percent of all cases of glycogen storage disease.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""GSD IV"", ""full_form"": ""glycogen storage disease type IV""}]}",How many people are affected by GSD IV ?,How many people are affected by glycogen storage disease type IV ?
exams and tests,How to diagnose Medium-chain acyl-coenzyme A dehydrogenase deficiency ?,"How is medium-chain acyl-coenzyme A dehydrogenase deficiency (MCADD) diagnosed? MCADD is now included in many newborn screening programs. If a newborn screening result for MCADD is not in the normal range, additional testing is recommended. A diagnosis of MCADD can be made through a blood test called a plasma acylcarnitine profile and an evaluation of organic acids in the urine. The diagnosis can also be confirmed by genetic testing.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MCAD"", ""full_form"": ""Medium-chain acyl-coenzyme A dehydrogenase""}]}",How to diagnose MCAD deficiency ?,How to diagnose Medium-chain acyl-coenzyme A dehydrogenase deficiency ?
treatment,What are the treatments for Lafora progressive myoclonus epilepsy ?,"These resources address the diagnosis or management of Lafora progressive myoclonus epilepsy:  - Gene Review: Gene Review: Progressive Myoclonus Epilepsy, Lafora Type  - Genetic Testing Registry: Lafora disease  - MedlinePlus Encyclopedia: Epilepsy  - MedlinePlus Encyclopedia:Generalized Tonic-Clonic Seizure   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""Lafora"", ""full_form"": ""Lafora progressive myoclonus epilepsy""}]}",What are the treatments for Lafora ?,What are the treatments for Lafora progressive myoclonus epilepsy ?
outlook,What is the outlook for Congenital Myopathy ?,"When breathing difficulties are severe, and particularly if there is also a problem with feeding and swallowing, infants may die of respiratory failure or complications such as pneumonia. Sometimes muscle weakness can lead to skeletal problems, such as scoliosis, reduced mobility of joints, or hip problems. The heart muscle is rarely involved.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CM"", ""full_form"": ""Congenital Myopathy""}]}",What is the outlook for CM ?,What is the outlook for Congenital Myopathy ?
information,Do you have information about HIV/AIDS in Women,"Summary : HIV, the human immunodeficiency virus, kills or damages cells of the body's immune system. The most advanced stage of infection with HIV is AIDS, which stands for acquired immunodeficiency syndrome.     HIV often spreads through unprotected sex with an infected person. It may also spread by sharing drug needles or through contact with the blood of an infected person.    Women can get HIV more easily during vaginal sex than men can. And if they do get HIV, they have unique problems, including:       - Complications such as repeated vaginal yeast infections, severe pelvic inflammatory disease (PID), and a higher risk of cervical cancer    - Different side effects from the drugs that treat HIV    - The risk of giving HIV to their baby while pregnant or during childbirth       There is no cure, but there are many medicines to fight both HIV infection and the infections and cancers that come with it. People can live with the disease for many years.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""HIV"", ""full_form"": ""Human Immunodeficiency Virus""}, {""ambiguity_type"": ""abbreviation"", ""abbreviation"": ""AIDS"", ""full_form"": ""Acquired Immunodeficiency Syndrome""}]}",Do you have information about HIV/AIDS in Women,Do you have information about Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome in Women
frequency,How many people are affected by benign recurrent intrahepatic cholestasis ?,"BRIC is a rare disorder. Although the prevalence is unknown, this condition is less common than the related disorder PFIC, which affects approximately 1 in 50,000 to 100,000 people worldwide.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""BRIC"", ""full_form"": ""benign recurrent intrahepatic cholestasis""}]}",How many people are affected by BRIC ?,How many people are affected by benign recurrent intrahepatic cholestasis ?
treatment,What are the treatments for adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,These resources address the diagnosis or management of ALSP:  - Gene Review: Gene Review: Adult-Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia  - Genetic Testing Registry: Hereditary diffuse leukoencephalopathy with spheroids  - MedlinePlus Encyclopedia: Dementia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ALSP"", ""full_form"": ""adult-onset leukoencephalopathy with axonal spheroids and pigmented glia""}]}",What are the treatments for ALSP ?,What are the treatments for adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?
frequency,How many people are affected by primary macronodular adrenal hyperplasia ?,"PMAH is a rare disorder. It is present in less than 1 percent of cases of endogenous Cushing syndrome, which describes forms of Cushing syndrome caused by factors internal to the body rather than by external factors such as long-term use of certain medicines called corticosteroids. The prevalence of endogenous Cushing syndrome is about 1 in 26,000 people.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""PMAH"", ""full_form"": ""primary macronodular adrenal hyperplasia""}]}",How many people are affected by PMAH ?,How many people are affected by primary macronodular adrenal hyperplasia ?
frequency,How many people are affected by antiphospholipid syndrome ?,"The exact prevalence of antiphospholipid syndrome is unknown. This condition is thought to be fairly common, and may be responsible for up to one percent of all thromboses. It is estimated that 20 percent of individuals younger than age 50 who have a stroke have antiphospholipid syndrome. Ten to 15 percent of people with systemic lupus erythematosus have antiphospholipid syndrome. Similarly, 10 to 15 percent of women with recurrent miscarriages likely have this condition. Approximately 70 percent of individuals diagnosed with antiphospholipid syndrome are female.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""APS"", ""full_form"": ""antiphospholipid syndrome""}]}",How many people are affected by APS ?,How many people are affected by antiphospholipid syndrome ?
treatment,What are the treatments for Mitral Valve Prolapse ?,"Most people who have mitral valve prolapse (MVP) dont need treatment because they dont have symptoms and complications.
                
Even people who do have symptoms may not need treatment. The presence of symptoms doesnt always mean that the backflow of blood through the valve is significant.
                
People who have MVP and troublesome mitral valve backflow may be treated with medicines, surgery, or both.
                
The goals of treating MVP include:
                
Correcting the underlying mitral valve problem, if necessary
                
Preventinginfective endocarditis,arrhythmias, and other complications
                
Relieving symptoms
                
Medicines
                
Medicines called beta blockers may be used to treatpalpitationsand chest discomfort in people who have little or no mitral valve backflow.
                
If you have significant backflow and symptoms, your doctor may prescribe:
                
Blood-thinning medicines to reduce the risk of blood clots forming if you haveatrial fibrillation.
                
Digoxin to strengthen your heartbeat.
                
Diuretics (fluidpills) to remove excess sodium and fluid in your body and lungs.
                
Medicines such as flecainide and procainamide to regulate your heart rhythms.
                
Vasodilators to widen your blood vessels and reduce your hearts workload. Examples of vasodilators are isosorbide dinitrate and hydralazine.
                
Take all medicines regularly, as your doctor prescribes. Dont change the amount of your medicine or skip a dose unless your doctor tells you to.
                
Surgery
                
Surgery is done only if the mitral valve is very abnormal and blood is flowing back into the atrium. The main goal of surgery is to improve symptoms and reduce the risk ofheart failure.
                
The timing of the surgery is important. If its done too early and your leaking valve is working fairly well, you may be put at needless risk from surgery. If its done too late, you may have heart damage that can't be fixed.
                
Surgical Approaches
                
Traditionally, heart surgeons repair or replace a mitral valve by making an incision (cut) in the breastbone and exposing the heart.
                
A small but growing number of surgeons are using another approach that involves one or more small cuts through the side of the chest wall. This results in less cutting, reduced blood loss, and a shorter hospital stay. However, not all hospitals offer this method.
                
Valve Repair and Valve Replacement
                
In mitral valve surgery, the valve is repaired or replaced. Valve repair is preferred when possible. Repair is less likely than replacement to weaken the heart. Repair also lowers the risk of infection and decreases the need for lifelong use of blood-thinning medicines.
                
If repair isnt an option, the valve can be replaced. Mechanical and biological valves are used as replacement valves.
                
Mechanical valves are man-made and can last a lifetime. People who have mechanical valves must take blood-thinning medicines for the rest of their lives.
                
Biological valves are taken from cows or pigs or made from human tissue. Many people who have biological valves dont need to take blood-thinning medicines for the rest of their lives. The major drawback of biological valves is that they weaken over time and often last only about 10 years.
                
After surgery, youll likely stay in the hospitals intensive care unit for 2 to 3 days. Overall, most people who have mitral valve surgery spend about 1 to 2 weeks in the hospital. Complete recovery takes a few weeks to several months, depending on your health before surgery.
                
If youve had valve repair or replacement, you may need antibiotics before dental work and surgery. These procedures can allow bacteria to enter your bloodstream. Antibiotics can help prevent infective endocarditis, a serious heart valve infection. Discuss with your doctor whether you need to take antibiotics before such procedures.
                
Transcatheter Valve Therapy
                
Interventional cardiologists may be able to repair leaky mitral valves by implanting a device using a catheter (tube) inserted through a large blood vessel. This approach is less invasive and can prevent a person from havingopen-heart surgery. At present, the device is only approved for people with severe mitral regurgitation who cannot undergo surgery.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""MVP"", ""full_form"": ""Mitral Valve Prolapse""}]}",What are the treatments for MVP ?,What are the treatments for Mitral Valve Prolapse ?
symptoms,What are the symptoms of Adult neuronal ceroid lipofuscinosis ?,"What are the signs and symptoms of Adult neuronal ceroid lipofuscinosis? The Human Phenotype Ontology provides the following list of signs and symptoms for Adult neuronal ceroid lipofuscinosis. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal pyramidal signs 90% Abnormality of extrapyramidal motor function 90% Behavioral abnormality 90% Developmental regression 90% Incoordination 90% Involuntary movements 90% Seizures 90% Retinopathy 7.5% Visual impairment 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""ANCL"", ""full_form"": ""Adult neuronal ceroid lipofuscinosis""}]}",What are the symptoms of ANCL ?,What are the symptoms of Adult neuronal ceroid lipofuscinosis ?
complications,What are the complications of Crohn's Disease ?,"Complications of Crohn's disease can include
                
- bowel obstruction. Crohn's disease can thicken the wall of the intestine. Over time, the thickened areas of the intestine can narrow, which can block the intestine. A partial or complete obstruction, also called a bowel blockage, can block the movement of food or stool through the intestines. A complete bowel obstruction is life threatening and requires immediate medical attention and often surgery.  - fistulasabnormal passages, or tunnels, between two organs, or between an organ and the outside of the body. How a health care provider treats fistulas depends on their type and severity. For some people, fistulas heal with medication and diet changes, while other people will need to have surgery.  - anal fissuressmall tears in the anus that may cause itching, pain, or bleeding. Most anal fissures heal with medical treatment, including ointments, warm baths, and dietary changes.  - ulcers. Inflammation anywhere along the GI tract can lead to ulcers or open sores in a person's mouth, intestines, anus, and perineumthe area between the anus and the sex organs. In most cases, the treatment a health care provider prescribes for Crohn's disease will also treat the ulcers.  - malnutritiona condition that develops when the body does not get the right amount of vitamins, minerals, and nutrients it needs to maintain healthy tissues and organ function. Some people may need IV fluids or feeding tubes to replace lost nutrients and fluids.  - inflammation in other areas of the body. The immune system can trigger inflammation in the      - joints    - eyes    - skin
                
Health care providers can treat inflammation by adjusting medications or prescribing new medications.
                

                
Crohn's Disease and Colon Cancer   People with Crohn's disease in the large intestine may be more likely to develop colon cancer. People who receive ongoing treatment and remain in remission may reduce their chances of developing colon cancer.   People with Crohn's disease should talk with their health care provider about how often they should get screened for colon cancer. Screening can include colonoscopy with biopsies. Such screening does not reduce a person's chances of developing colon cancer. Instead, screening can help diagnose cancer early and improve chances for recovery.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CD"", ""full_form"": ""Crohn's Disease""}]}",What are the complications of CD ?,What are the complications of Crohn's Disease ?
inheritance,Is core binding factor acute myeloid leukemia inherited ?,CBF-AML is not inherited but arises from genetic rearrangements in the body's cells that occur after conception.,"{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""CBF-AML"", ""full_form"": ""core binding factor acute myeloid leukemia""}]}",Is CBF-AML inherited ?,Is core binding factor acute myeloid leukemia inherited ?
susceptibility,Who is at risk for Iron-Deficiency Anemia? ?,"Infants and Young Children
                
Infants and young children need a lot of iron to grow and develop. The iron that full-term infants have stored in their bodies is used up in the first 4 to 6 months of life.
                
Premature and low-birth-weight babies (weighing less than 5.5 pounds) are at even greater risk for iron-deficiency anemia. These babies don't have as much iron stored in their bodies as larger, full-term infants.
                
Iron-fortified baby food or iron supplements, when used properly, can help prevent iron-deficiency anemia in infants and young children. Talk with your child's doctor about your child's diet.
                
Young children who drink a lot of cow's milk may be at risk for iron-deficiency anemia. Milk is low in iron, and too much milk may take the place of iron-rich foods in the diet. Too much milk also may prevent children's bodies from absorbing iron from other foods.
                
Children who have lead in their blood also may be at risk for iron-deficiency anemia. Lead can interfere with the body's ability to make hemoglobin. Lead may get into the body from breathing in lead dust, eating lead in paint or soil, or drinking water that contains lead.
                
Teens
                
Teens are at risk for iron-deficiency anemia if they're underweight or have chronic (ongoing) illnesses. Teenage girls who have heavy periods also are at increased risk for the condition.
                
Women
                
Women of childbearing age are at higher risk for iron-deficiency anemia because of blood loss during their monthly periods. About 1 in 5 women of childbearing age has iron-deficiency anemia.
                
Pregnant women also are at higher risk for the condition because they need twice as much iron as usual. The extra iron is needed for increased blood volume and for the fetus' growth.
                
About half of all pregnant women develop iron-deficiency anemia. The condition can increase a pregnant woman's risk for a premature or low-birth-weight baby.
                
Adults Who Have Internal Bleeding
                
Adults who have internal bleeding, such as intestinal bleeding, can develop iron-deficiency anemia due to blood loss. Certain conditions, such as colon cancer and bleeding ulcers, can cause blood loss. Some medicines, such as aspirin, also can cause internal bleeding.
                
Other At-Risk Groups
                
People who get kidney dialysis treatment may develop iron-deficiency anemia. This is because blood is lost during dialysis. Also, the kidneys are no longer able to make enough of a hormone that the body needs to produce red blood cells.
                
People who have gastric bypass surgery also may develop iron-deficiency anemia. This type of surgery can prevent the body from absorbing enough iron.
                
Certain eating patterns or habits may put you at higher risk for iron-deficiency anemia. This can happen if you:
                
Follow a diet that excludes meat and fish, which are the best sources of iron. However, vegetarian diets can provide enough iron if you eat the right foods. For example, good nonmeat sources of iron include iron-fortified breads and cereals, beans, tofu, dried fruits, and spinach and other dark green leafy vegetables.
                
Eat poorly because of money, social, health, or other problems.
                
Follow a very low-fat diet over a long time. Some higher fat foods, like meat, are the best sources of iron.
                
Follow a high-fiber diet. Large amounts of fiber can slow the absorption of iron.","{""full_form_abbrv_map"": [{""ambiguity_type"": ""full_form"", ""abbreviation"": ""IDA"", ""full_form"": ""Iron-Deficiency Anemia""}]}",Who is at risk for IDA? ?,Who is at risk for Iron-Deficiency Anemia? ?
